"","cell_id","Epithelial_cluster","inferCNV_annotation"
"54","A13_B003777","epithelial 2","tumor"
"55","A13_B003894","epithelial 2","tumor"
"56","A14_1001000339","epithelial 13","tumor"
"57","A14_1001000340","epithelial 13","tumor"
"58","A14_1001000407","epithelial 0","tumor"
"59","A14_1001000408","epithelial 0","tumor"
"60","A14_1001000412","epithelial 11","tumor"
"61","A14_B000422","epithelial 6","tumor"
"62","A14_B002073","epithelial 7","nontumor"
"63","A14_B002079","epithelial 3","tumor"
"64","A14_B003112","epithelial 3","tumor"
"65","A14_B003120","epithelial 3","tumor"
"66","A14_B003126","epithelial 7","nontumor"
"67","A14_B003129","epithelial 1","nontumor"
"68","A14_B003132","epithelial 1","nontumor"
"69","A14_B003518","epithelial 4","tumor"
"70","A14_B003527","epithelial 8","tumor"
"71","A14_B003588","epithelial 2","nontumor"
"72","A14_B003775","epithelial 2","tumor"
"73","A14_B003776","epithelial 5","tumor"
"74","A14_B003777","epithelial 5","tumor"
"75","A15_1001000340","epithelial 13","tumor"
"76","A15_1001000407","epithelial 0","tumor"
"77","A15_1001000408","epithelial 0","tumor"
"78","A15_1001000412","epithelial 11","tumor"
"79","A15_B000420","epithelial 2","nontumor"
"80","A15_B002074","epithelial 1","nontumor"
"81","A15_B002077","epithelial 6","tumor"
"82","A15_B002078","epithelial 6","tumor"
"83","A15_B003112","epithelial 3","tumor"
"84","A15_B003116","epithelial 3","tumor"
"85","A15_B003125","epithelial 1","nontumor"
"86","A15_B003129","epithelial 10","tumor"
"87","A15_B003132","epithelial 7","nontumor"
"88","A15_B003187","epithelial 1","nontumor"
"89","A15_B003518","epithelial 8","tumor"
"90","A15_B003522","epithelial 4","tumor"
"91","A15_B003527","epithelial 8","tumor"
"92","A15_B003529","epithelial 4","tumor"
"93","A15_B003776","epithelial 5","tumor"
"94","A15_B003894","epithelial 20","tumor"
"95","A15_B003930","epithelial 14","nontumor"
"96","A16_1001000339","epithelial 13","tumor"
"97","A16_1001000407","epithelial 0","tumor"
"98","A16_1001000408","epithelial 0","tumor"
"99","A16_1001000412","epithelial 0","tumor"
"100","A16_B002074","epithelial 7","nontumor"
"101","A16_B002077","epithelial 6","nontumor"
"102","A16_B003112","epithelial 18","nontumor"
"103","A16_B003116","epithelial 3","tumor"
"104","A16_B003120","epithelial 3","tumor"
"105","A16_B003129","epithelial 10","tumor"
"106","A16_B003187","epithelial 1","nontumor"
"107","A16_B003518","epithelial 4","tumor"
"108","A16_B003527","epithelial 8","tumor"
"109","A16_B003654","epithelial 10","tumor"
"110","A16_B003775","epithelial 5","tumor"
"111","A16_B003776","epithelial 5","tumor"
"112","A16_B003777","epithelial 2","tumor"
"113","A16_B003995","epithelial 1","nontumor"
"114","A17_1001000339","epithelial 13","tumor"
"115","A17_1001000407","epithelial 0","tumor"
"116","A17_1001000408","epithelial 0","tumor"
"117","A17_1001000412","epithelial 0","tumor"
"118","A17_B000420","epithelial 6","tumor"
"119","A17_B002073","epithelial 7","nontumor"
"120","A17_B002077","epithelial 6","tumor"
"121","A17_B002097","epithelial 7","nontumor"
"122","A17_B003112","epithelial 3","nontumor"
"123","A17_B003116","epithelial 22","nontumor"
"124","A17_B003120","epithelial 15","nontumor"
"125","A17_B003187","epithelial 9","nontumor"
"126","A17_B003518","epithelial 4","tumor"
"127","A17_B003775","epithelial 5","tumor"
"128","A17_B003776","epithelial 5","tumor"
"129","A17_B003777","epithelial 5","tumor"
"130","A18_1001000407","epithelial 0","tumor"
"131","A18_1001000408","epithelial 0","tumor"
"132","A18_B000420","epithelial 6","tumor"
"133","A18_B000422","epithelial 6","tumor"
"134","A18_B002078","epithelial 6","tumor"
"135","A18_B003112","epithelial 3","tumor"
"136","A18_B003116","epithelial 3","tumor"
"137","A18_B003120","epithelial 3","tumor"
"138","A18_B003518","epithelial 4","tumor"
"139","A18_B003522","epithelial 2","nontumor"
"140","A18_B003527","epithelial 8","tumor"
"141","A18_B003771","epithelial 20","tumor"
"142","A18_B003775","epithelial 5","tumor"
"143","A18_B003776","epithelial 5","tumor"
"144","A18_B003777","epithelial 5","tumor"
"145","A19_1001000340","epithelial 13","tumor"
"146","A19_1001000407","epithelial 0","tumor"
"147","A19_1001000408","epithelial 11","tumor"
"148","A19_1001000412","epithelial 0","tumor"
"149","A19_B000420","epithelial 6","tumor"
"150","A19_B000422","epithelial 6","tumor"
"151","A19_B002074","epithelial 1","nontumor"
"152","A19_B002077","epithelial 15","nontumor"
"153","A19_B002078","epithelial 6","tumor"
"154","A19_B003070","epithelial 2","tumor"
"155","A19_B003112","epithelial 2","nontumor"
"156","A19_B003116","epithelial 15","nontumor"
"157","A19_B003120","epithelial 3","nontumor"
"158","A19_B003187","epithelial 9","nontumor"
"159","A19_B003518","epithelial 4","tumor"
"160","A19_B003522","epithelial 9","nontumor"
"161","A19_B003527","epithelial 4","tumor"
"162","A19_B003588","epithelial 22","tumor"
"163","A19_B003776","epithelial 5","tumor"
"164","A19_B003777","epithelial 5","tumor"
"165","A1_B000860","epithelial 14","tumor"
"166","A1_B000863","epithelial 16","tumor"
"167","A1_B000883","epithelial 2","nontumor"
"168","A1_B001543","epithelial 11","tumor"
"169","A1_B001558","epithelial 1","nontumor"
"170","A1_B003132","epithelial 7","nontumor"
"171","A1_B003191","epithelial 7","nontumor"
"172","A1_B003523","epithelial 9","tumor"
"173","A1_B003648","epithelial 19","tumor"
"174","A20_1001000339","epithelial 13","tumor"
"175","A20_1001000407","epithelial 0","tumor"
"176","A20_1001000408","epithelial 0","tumor"
"177","A20_1001000412","epithelial 0","tumor"
"178","A20_B000422","epithelial 6","tumor"
"179","A20_B002073","epithelial 1","nontumor"
"180","A20_B002074","epithelial 7","nontumor"
"181","A20_B002079","epithelial 6","tumor"
"182","A20_B003105","epithelial 14","nontumor"
"183","A20_B003112","epithelial 3","tumor"
"184","A20_B003116","epithelial 15","nontumor"
"185","A20_B003120","epithelial 3","tumor"
"186","A20_B003518","epithelial 4","tumor"
"187","A20_B003527","epithelial 4","tumor"
"188","A20_B003588","epithelial 4","tumor"
"189","A20_B003894","epithelial 7","nontumor"
"190","A21_1001000407","epithelial 0","tumor"
"191","A21_1001000408","epithelial 0","tumor"
"192","A21_1001000412","epithelial 11","tumor"
"193","A21_B000420","epithelial 6","tumor"
"194","A21_B000422","epithelial 6","tumor"
"195","A21_B002074","epithelial 7","nontumor"
"196","A21_B002079","epithelial 6","tumor"
"197","A21_B003112","epithelial 3","tumor"
"198","A21_B003116","epithelial 22","nontumor"
"199","A21_B003120","epithelial 3","tumor"
"200","A21_B003518","epithelial 8","tumor"
"201","A21_B003527","epithelial 4","tumor"
"202","A21_B003654","epithelial 2","tumor"
"203","A21_B003775","epithelial 5","tumor"
"204","A21_B003777","epithelial 2","tumor"
"205","A22_1001000407","epithelial 0","tumor"
"206","A22_1001000408","epithelial 0","tumor"
"207","A22_B002077","epithelial 2","nontumor"
"208","A22_B003067","epithelial 14","tumor"
"209","A22_B003071","epithelial 14","tumor"
"210","A22_B003112","epithelial 3","tumor"
"211","A22_B003116","epithelial 3","tumor"
"212","A22_B003132","epithelial 7","nontumor"
"213","A22_B003191","epithelial 7","nontumor"
"214","A22_B003518","epithelial 8","tumor"
"215","A22_B003522","epithelial 8","tumor"
"216","A22_B003527","epithelial 8","tumor"
"217","A22_B003775","epithelial 2","nontumor"
"218","A22_B003776","epithelial 5","tumor"
"219","A22_B003777","epithelial 5","tumor"
"220","A22_B003995","epithelial 20","tumor"
"221","A2_1001000408","epithelial 0","tumor"
"222","A2_1001000411","epithelial 0","tumor"
"223","A2_1001000412","epithelial 2","nontumor"
"224","A2_B000862","epithelial 16","tumor"
"225","A2_B001543","epithelial 17","tumor"
"226","A2_B003129","epithelial 15","nontumor"
"227","A3_1001000408","epithelial 0","tumor"
"228","A3_1001000412","epithelial 0","tumor"
"229","A3_B001554","epithelial 1","nontumor"
"230","A3_B001558","epithelial 1","nontumor"
"231","A3_B002090","epithelial 9","nontumor"
"232","A3_B003129","epithelial 10","tumor"
"233","A3_B003187","epithelial 2","nontumor"
"234","A3_B003191","epithelial 7","tumor"
"235","A3_B003659","epithelial 19","tumor"
"236","A4_10001000325","epithelial 11","tumor"
"237","A4_1001000317","epithelial 11","tumor"
"238","A4_1001000407","epithelial 0","tumor"
"239","A4_1001000411","epithelial 0","tumor"
"240","A4_B000861","epithelial 2","nontumor"
"241","A4_B000862","epithelial 16","tumor"
"242","A4_B001558","epithelial 1","nontumor"
"243","A4_B003132","epithelial 1","nontumor"
"244","A4_B003187","epithelial 1","nontumor"
"245","A5_1001000317","epithelial 11","tumor"
"246","A5_1001000407","epithelial 0","tumor"
"247","A5_1001000408","epithelial 0","tumor"
"248","A5_B000862","epithelial 16","tumor"
"249","A5_B001474","epithelial 5","tumor"
"250","A5_B001554","epithelial 1","nontumor"
"251","A5_B003067","epithelial 9","nontumor"
"252","A5_B003129","epithelial 1","nontumor"
"253","A5_B003648","epithelial 19","tumor"
"254","A6_1001000408","epithelial 0","tumor"
"255","A6_1001000412","epithelial 0","tumor"
"256","A6_B000863","epithelial 16","tumor"
"257","A6_B001474","epithelial 5","tumor"
"258","A6_B001558","epithelial 7","nontumor"
"259","A6_B003093","epithelial 18","tumor"
"260","A6_B003129","epithelial 10","tumor"
"261","A6_B003132","epithelial 1","nontumor"
"262","A6_B003648","epithelial 2","tumor"
"263","A7_10001000325","epithelial 11","tumor"
"264","A7_1001000407","epithelial 0","tumor"
"265","A7_1001000408","epithelial 0","tumor"
"266","A7_1001000412","epithelial 2","nontumor"
"267","A7_B000862","epithelial 16","tumor"
"268","A7_B001554","epithelial 1","nontumor"
"269","A7_B003125","epithelial 10","tumor"
"270","A7_B003126","epithelial 1","nontumor"
"271","A7_B003187","epithelial 1","nontumor"
"272","A7_B003191","epithelial 1","nontumor"
"273","A7_B003518","epithelial 4","tumor"
"274","A7_B003528","epithelial 1","nontumor"
"275","A7_B003577","epithelial 11","nontumor"
"276","A8_1001000340","epithelial 13","tumor"
"277","A8_B000579","epithelial 2","nontumor"
"278","A8_B000863","epithelial 16","tumor"
"279","A8_B001474","epithelial 2","tumor"
"280","A8_B001543","epithelial 3","tumor"
"281","A8_B001558","epithelial 7","nontumor"
"282","A8_B003126","epithelial 10","tumor"
"283","A8_B003132","epithelial 10","tumor"
"284","A8_B003187","epithelial 1","nontumor"
"285","A8_B003523","epithelial 17","tumor"
"286","A8_B003527","epithelial 8","tumor"
"287","A8_B003528","epithelial 17","tumor"
"288","A9_10001000325","epithelial 11","tumor"
"289","A9_1001000407","epithelial 0","tumor"
"290","A9_1001000408","epithelial 0","tumor"
"291","A9_1001000412","epithelial 0","tumor"
"292","A9_B000860","epithelial 16","tumor"
"293","A9_B000862","epithelial 16","tumor"
"294","A9_B000863","epithelial 14","nontumor"
"295","A9_B001474","epithelial 2","tumor"
"296","A9_B001475","epithelial 5","tumor"
"297","A9_B001543","epithelial 15","nontumor"
"298","A9_B001545","epithelial 2","nontumor"
"299","A9_B001554","epithelial 7","nontumor"
"300","A9_B001557","epithelial 9","nontumor"
"301","A9_B003119","epithelial 3","tumor"
"302","A9_B003187","epithelial 9","nontumor"
"303","A9_B003518","epithelial 8","tumor"
"304","A9_B003527","epithelial 8","tumor"
"305","A9_B003577","epithelial 17","tumor"
"306","A9_B003588","epithelial 4","tumor"
"307","A9_B003647","epithelial 11","tumor"
"308","B10_1001000340","epithelial 13","tumor"
"309","B10_1001000407","epithelial 0","tumor"
"310","B10_1001000408","epithelial 0","tumor"
"311","B10_1001000411","epithelial 0","tumor"
"312","B10_1001000412","epithelial 0","tumor"
"313","B10_B000862","epithelial 14","nontumor"
"314","B10_B000863","epithelial 16","tumor"
"315","B10_B001548","epithelial 17","tumor"
"316","B10_B001554","epithelial 1","nontumor"
"317","B10_B003518","epithelial 4","tumor"
"318","B10_B003522","epithelial 8","tumor"
"319","B10_B003523","epithelial 2","nontumor"
"320","B10_B003529","epithelial 4","tumor"
"321","B10_B003577","epithelial 17","tumor"
"322","B10_B003995","epithelial 1","nontumor"
"323","B11_10001000325","epithelial 11","tumor"
"324","B11_1001000407","epithelial 0","tumor"
"325","B11_1001000408","epithelial 0","tumor"
"326","B11_1001000412","epithelial 0","tumor"
"327","B11_B000420","epithelial 6","tumor"
"328","B11_B000861","epithelial 16","tumor"
"329","B11_B001554","epithelial 1","nontumor"
"330","B11_B003518","epithelial 4","tumor"
"331","B11_B003527","epithelial 4","tumor"
"332","B11_B003528","epithelial 17","tumor"
"333","B11_B003588","epithelial 4","nontumor"
"334","B12_1001000407","epithelial 0","tumor"
"335","B12_1001000408","epithelial 0","tumor"
"336","B12_1001000412","epithelial 0","tumor"
"337","B12_B001008","epithelial 11","tumor"
"338","B12_B002077","epithelial 6","tumor"
"339","B12_B003116","epithelial 15","nontumor"
"340","B12_B003518","epithelial 8","tumor"
"341","B12_B003527","epithelial 4","tumor"
"342","B12_B003771","epithelial 7","nontumor"
"343","B12_B003776","epithelial 5","tumor"
"344","B13_1001000340","epithelial 13","tumor"
"345","B13_1001000407","epithelial 0","tumor"
"346","B13_1001000408","epithelial 0","tumor"
"347","B13_1001000412","epithelial 0","tumor"
"348","B13_B000422","epithelial 6","tumor"
"349","B13_B000579","epithelial 2","nontumor"
"350","B13_B003112","epithelial 15","nontumor"
"351","B13_B003116","epithelial 3","tumor"
"352","B13_B003518","epithelial 8","tumor"
"353","B13_B003527","epithelial 4","tumor"
"354","B13_B003529","epithelial 4","tumor"
"355","B13_B003588","epithelial 2","nontumor"
"356","B13_B003775","epithelial 5","tumor"
"357","B13_B003776","epithelial 5","tumor"
"358","B14_1001000407","epithelial 0","tumor"
"359","B14_1001000408","epithelial 0","tumor"
"360","B14_1001000412","epithelial 11","tumor"
"361","B14_B002078","epithelial 2","tumor"
"362","B14_B003112","epithelial 3","tumor"
"363","B14_B003116","epithelial 3","tumor"
"364","B14_B003518","epithelial 4","tumor"
"365","B14_B003527","epithelial 4","tumor"
"366","B14_B003588","epithelial 4","tumor"
"367","B14_B003771","epithelial 2","tumor"
"368","B14_B003776","epithelial 2","tumor"
"369","B14_B003777","epithelial 5","tumor"
"370","B15_1001000339","epithelial 13","tumor"
"371","B15_1001000340","epithelial 13","tumor"
"372","B15_1001000407","epithelial 0","tumor"
"373","B15_1001000408","epithelial 0","tumor"
"374","B15_1001000412","epithelial 0","tumor"
"375","B15_B000579","epithelial 25","tumor"
"376","B15_B002073","epithelial 23","nontumor"
"377","B15_B002077","epithelial 15","nontumor"
"378","B15_B002097","epithelial 7","nontumor"
"379","B15_B003103","epithelial 14","nontumor"
"380","B15_B003112","epithelial 3","nontumor"
"381","B15_B003120","epithelial 3","nontumor"
"382","B15_B003125","epithelial 7","nontumor"
"383","B15_B003187","epithelial 10","tumor"
"384","B15_B003191","epithelial 10","tumor"
"385","B15_B003518","epithelial 8","tumor"
"386","B15_B003527","epithelial 4","tumor"
"387","B15_B003529","epithelial 4","tumor"
"388","B15_B003775","epithelial 2","nontumor"
"389","B15_B003776","epithelial 5","tumor"
"390","B15_B003777","epithelial 2","tumor"
"391","B16_1001000339","epithelial 13","tumor"
"392","B16_1001000340","epithelial 13","tumor"
"393","B16_1001000407","epithelial 0","tumor"
"394","B16_1001000408","epithelial 11","tumor"
"395","B16_B000420","epithelial 1","nontumor"
"396","B16_B002079","epithelial 15","nontumor"
"397","B16_B003112","epithelial 3","tumor"
"398","B16_B003116","epithelial 3","tumor"
"399","B16_B003120","epithelial 3","tumor"
"400","B16_B003125","epithelial 7","nontumor"
"401","B16_B003126","epithelial 10","tumor"
"402","B16_B003132","epithelial 7","nontumor"
"403","B16_B003187","epithelial 1","nontumor"
"404","B16_B003191","epithelial 1","nontumor"
"405","B16_B003518","epithelial 4","tumor"
"406","B16_B003522","epithelial 4","tumor"
"407","B16_B003527","epithelial 8","tumor"
"408","B16_B003588","epithelial 2","nontumor"
"409","B16_B003775","epithelial 5","tumor"
"410","B16_B003776","epithelial 5","tumor"
"411","B16_B003777","epithelial 5","tumor"
"412","B17_1001000339","epithelial 13","tumor"
"413","B17_1001000340","epithelial 13","tumor"
"414","B17_1001000407","epithelial 0","tumor"
"415","B17_1001000408","epithelial 0","tumor"
"416","B17_1001000412","epithelial 0","tumor"
"417","B17_B000422","epithelial 15","nontumor"
"418","B17_B002079","epithelial 6","tumor"
"419","B17_B003120","epithelial 3","tumor"
"420","B17_B003527","epithelial 4","tumor"
"421","B17_B003529","epithelial 4","tumor"
"422","B17_B003588","epithelial 8","tumor"
"423","B17_B003776","epithelial 5","tumor"
"424","B18_1001000339","epithelial 13","tumor"
"425","B18_1001000407","epithelial 11","tumor"
"426","B18_1001000408","epithelial 0","tumor"
"427","B18_1001000412","epithelial 0","tumor"
"428","B18_B000422","epithelial 15","nontumor"
"429","B18_B002073","epithelial 7","nontumor"
"430","B18_B002074","epithelial 7","nontumor"
"431","B18_B003112","epithelial 3","tumor"
"432","B18_B003120","epithelial 3","tumor"
"433","B18_B003527","epithelial 8","tumor"
"434","B18_B003588","epithelial 4","tumor"
"435","B18_B003775","epithelial 2","nontumor"
"436","B18_B003776","epithelial 5","tumor"
"437","B18_B003777","epithelial 5","tumor"
"438","B19_1001000339","epithelial 13","tumor"
"439","B19_1001000407","epithelial 0","tumor"
"440","B19_1001000408","epithelial 0","tumor"
"441","B19_B000420","epithelial 6","tumor"
"442","B19_B000422","epithelial 12","nontumor"
"443","B19_B002074","epithelial 7","nontumor"
"444","B19_B003071","epithelial 2","tumor"
"445","B19_B003116","epithelial 3","tumor"
"446","B19_B003588","epithelial 9","nontumor"
"447","B19_B003776","epithelial 5","tumor"
"448","B19_B003894","epithelial 20","tumor"
"449","B19_B003930","epithelial 11","tumor"
"450","B1_1001000407","epithelial 0","tumor"
"451","B1_1001000408","epithelial 0","tumor"
"452","B1_B000863","epithelial 14","tumor"
"453","B1_B003129","epithelial 1","nontumor"
"454","B1_B003187","epithelial 10","tumor"
"455","B20_1001000339","epithelial 13","tumor"
"456","B20_1001000407","epithelial 0","tumor"
"457","B20_1001000408","epithelial 0","tumor"
"458","B20_1001000412","epithelial 0","tumor"
"459","B20_B002074","epithelial 7","nontumor"
"460","B20_B002079","epithelial 6","tumor"
"461","B20_B002097","epithelial 7","nontumor"
"462","B20_B003112","epithelial 3","nontumor"
"463","B20_B003522","epithelial 4","tumor"
"464","B20_B003527","epithelial 4","tumor"
"465","B20_B003588","epithelial 2","nontumor"
"466","B21_1001000407","epithelial 0","tumor"
"467","B21_1001000408","epithelial 0","tumor"
"468","B21_1001000412","epithelial 0","tumor"
"469","B21_B000422","epithelial 6","tumor"
"470","B21_B002073","epithelial 7","nontumor"
"471","B21_B002077","epithelial 7","nontumor"
"472","B21_B002079","epithelial 6","tumor"
"473","B21_B003116","epithelial 3","tumor"
"474","B21_B003518","epithelial 8","tumor"
"475","B21_B003522","epithelial 4","tumor"
"476","B21_B003588","epithelial 2","nontumor"
"477","B21_B003654","epithelial 2","tumor"
"478","B21_B003776","epithelial 5","tumor"
"479","B21_B003777","epithelial 5","tumor"
"480","B22_1001000339","epithelial 13","tumor"
"481","B22_1001000340","epithelial 13","tumor"
"482","B22_1001000407","epithelial 0","tumor"
"483","B22_1001000408","epithelial 0","tumor"
"484","B22_1001000412","epithelial 0","tumor"
"485","B22_B000420","epithelial 6","tumor"
"486","B22_B000422","epithelial 2","nontumor"
"487","B22_B002074","epithelial 1","nontumor"
"488","B22_B002079","epithelial 6","tumor"
"489","B22_B003112","epithelial 3","nontumor"
"490","B22_B003120","epithelial 3","tumor"
"491","B22_B003187","epithelial 7","nontumor"
"492","B22_B003518","epithelial 4","tumor"
"493","B22_B003529","epithelial 4","tumor"
"494","B22_B003775","epithelial 5","tumor"
"495","B22_B003776","epithelial 5","tumor"
"496","B2_1001000317","epithelial 11","tumor"
"497","B2_1001000412","epithelial 0","tumor"
"498","B2_B000861","epithelial 16","tumor"
"499","B2_B000863","epithelial 16","tumor"
"500","B2_B000901","epithelial 2","nontumor"
"501","B2_B001558","epithelial 3","tumor"
"502","B2_B002090","epithelial 9","nontumor"
"503","B2_B003067","epithelial 9","nontumor"
"504","B2_B003126","epithelial 10","tumor"
"505","B2_B003129","epithelial 11","tumor"
"506","B2_B003132","epithelial 1","nontumor"
"507","B2_B003191","epithelial 10","tumor"
"508","B2_B003648","epithelial 2","nontumor"
"509","B2_B003659","epithelial 19","tumor"
"510","B3_1001000315","epithelial 11","tumor"
"511","B3_1001000407","epithelial 0","tumor"
"512","B3_B000860","epithelial 14","nontumor"
"513","B3_B000861","epithelial 14","nontumor"
"514","B3_B000862","epithelial 14","tumor"
"515","B3_B000863","epithelial 16","tumor"
"516","B3_B001543","epithelial 15","nontumor"
"517","B3_B001558","epithelial 7","nontumor"
"518","B3_B002090","epithelial 9","nontumor"
"519","B3_B003187","epithelial 1","nontumor"
"520","B3_B003191","epithelial 1","nontumor"
"521","B4_1001000317","epithelial 14","nontumor"
"522","B4_1001000340","epithelial 13","tumor"
"523","B4_B000861","epithelial 14","nontumor"
"524","B4_B000862","epithelial 14","nontumor"
"525","B4_B001010","epithelial 9","nontumor"
"526","B4_B001543","epithelial 3","tumor"
"527","B4_B002090","epithelial 9","nontumor"
"528","B4_B003129","epithelial 7","nontumor"
"529","B4_B003132","epithelial 3","tumor"
"530","B4_B003187","epithelial 1","nontumor"
"531","B4_B003191","epithelial 1","nontumor"
"532","B4_B003518","epithelial 4","tumor"
"533","B4_B003648","epithelial 19","tumor"
"534","B5_10001000325","epithelial 11","tumor"
"535","B5_1001000327","epithelial 14","nontumor"
"536","B5_1001000340","epithelial 13","tumor"
"537","B5_1001000407","epithelial 0","tumor"
"538","B5_1001000412","epithelial 0","tumor"
"539","B5_B000860","epithelial 14","tumor"
"540","B5_B000861","epithelial 16","tumor"
"541","B5_B000863","epithelial 16","tumor"
"542","B5_B001464","epithelial 18","tumor"
"543","B5_B001548","epithelial 17","tumor"
"544","B5_B001558","epithelial 1","nontumor"
"545","B5_B001559","epithelial 17","tumor"
"546","B5_B003129","epithelial 1","nontumor"
"547","B5_B003187","epithelial 1","nontumor"
"548","B5_B003191","epithelial 10","tumor"
"549","B5_B003577","epithelial 17","tumor"
"550","B5_B003995","epithelial 1","nontumor"
"551","B6_1001000317","epithelial 11","tumor"
"552","B6_1001000340","epithelial 13","tumor"
"553","B6_1001000408","epithelial 2","nontumor"
"554","B6_1001000412","epithelial 0","tumor"
"555","B6_B000862","epithelial 14","tumor"
"556","B6_B000863","epithelial 16","tumor"
"557","B6_B001474","epithelial 2","tumor"
"558","B6_B001545","epithelial 11","tumor"
"559","B6_B001548","epithelial 2","nontumor"
"560","B6_B001554","epithelial 7","nontumor"
"561","B6_B003125","epithelial 10","tumor"
"562","B6_B003126","epithelial 1","nontumor"
"563","B6_B003187","epithelial 7","nontumor"
"564","B6_B003191","epithelial 10","tumor"
"565","B7_1001000407","epithelial 0","tumor"
"566","B7_1001000408","epithelial 0","tumor"
"567","B7_1001000412","epithelial 11","tumor"
"568","B7_B001543","epithelial 2","nontumor"
"569","B7_B001548","epithelial 17","tumor"
"570","B7_B003125","epithelial 1","nontumor"
"571","B7_B003126","epithelial 1","nontumor"
"572","B7_B003132","epithelial 7","nontumor"
"573","B7_B003518","epithelial 8","tumor"
"574","B7_B003523","epithelial 7","nontumor"
"575","B7_B003527","epithelial 8","tumor"
"576","B7_B003659","epithelial 19","tumor"
"577","B8_1001000317","epithelial 11","tumor"
"578","B8_1001000407","epithelial 0","tumor"
"579","B8_1001000408","epithelial 0","tumor"
"580","B8_B001475","epithelial 5","tumor"
"581","B8_B001558","epithelial 7","nontumor"
"582","B8_B003132","epithelial 10","tumor"
"583","B8_B003187","epithelial 1","nontumor"
"584","B8_B003191","epithelial 1","nontumor"
"585","B8_B003518","epithelial 4","tumor"
"586","B8_B003527","epithelial 8","tumor"
"587","B8_B003528","epithelial 17","tumor"
"588","B8_B003648","epithelial 19","tumor"
"589","B9_1001000407","epithelial 0","tumor"
"590","B9_1001000408","epithelial 0","tumor"
"591","B9_1001000412","epithelial 0","tumor"
"592","B9_B000863","epithelial 14","tumor"
"593","B9_B001475","epithelial 2","tumor"
"594","B9_B001558","epithelial 7","nontumor"
"595","B9_B003518","epithelial 4","tumor"
"596","B9_B003522","epithelial 4","tumor"
"597","B9_B003523","epithelial 2","nontumor"
"598","B9_B003588","epithelial 2","tumor"
"599","C10_10001000325","epithelial 11","tumor"
"600","C10_1001000407","epithelial 0","tumor"
"601","C10_1001000408","epithelial 0","tumor"
"602","C10_1001000412","epithelial 0","tumor"
"603","C10_B000580","epithelial 25","tumor"
"604","C10_B000863","epithelial 2","tumor"
"605","C10_B001470","epithelial 5","tumor"
"606","C10_B001545","epithelial 3","tumor"
"607","C10_B001548","epithelial 17","tumor"
"608","C10_B003119","epithelial 3","tumor"
"609","C10_B003129","epithelial 9","nontumor"
"610","C10_B003518","epithelial 4","tumor"
"611","C10_B003523","epithelial 2","nontumor"
"612","C10_B003527","epithelial 4","tumor"
"613","C11_10001000325","epithelial 11","tumor"
"614","C11_1001000327","epithelial 11","tumor"
"615","C11_1001000407","epithelial 0","tumor"
"616","C11_1001000408","epithelial 0","tumor"
"617","C11_1001000412","epithelial 11","tumor"
"618","C11_B000420","epithelial 6","tumor"
