NI07_grouped_pd	NI07_grouped_pr	NI07_naive
TMBIM1	1.34288587373644	0	0
VAMP7	1.17868829403847	0	0
RNF14	1.09792147746233	0	0
STARD4	1.19416829142911	0	0
CPE	1.05806212975957	0	0
CSTA	1.79729702636193	0	0
TMEM183A	1.00621726767623	0	0
FIBCD1	1.24026744479974	0	0
SLC12A8	1.81768697700439	0	0
PPM1H	1.12216436582057	0	0
DLD	1.78392884386405	0	0
GSKIP	1.15010018291009	0	0
SLC44A1	1.55533601700122	0	0
CDK6	1.21871750200331	0	0
EPHA1	1.1286405253329	0	0
VOPP1	1.26242211425595	0	0
LYPLA1	1.00120878297603	0	0
PAM	1.69102823301229	0	0
PGAM1	1.27480544368676	0	0
S100A16	1.06571457380447	0	0
ADGRF1	1.73421465112043	0	0
ERI1	1.00621687709919	0	0
SQRDL	1.11479318619657	0	0
S100P	3.18598033605428	0	0
MINPP1	1.22982861602731	0	0
ITGB2	1.04413756135763	0	0
CA12	1.80638571160926	0	0
PLEKHG6	1.20220094106802	0	0
TXNRD1	1.28378687436743	0	0
F12	1.32431995180629	0	0
SLC41A2	1.08479183605969	0	0
STRADB	1.1273609098437	0	0
NOMO2	1.14320692755077	0	0
RELL1	1.2742009154744	0	0
SLC2A1	1.42332424899246	0	0
PAK1	1.02597918278278	0	0
CTSL	1.07695709558223	0	0
PVRL4	1.06044615367012	0	0
APOL1	1.65327543901048	0	0
GCNT3	1.02200093687132	0	0
ADM	1.31255198309979	0	0
PLBD1	1.86906201987454	0	0
FCHO1	1.52616411499448	0	0
METTL9	1.03033465163124	0	0
RHCG	3.16067244694416	0	0
APOBEC3B	1.05682325735001	0	0
MYD88	1.41511278508425	0	0
BPNT1	1.02254317851623	0	0
PSMB9	1.1855187105515	0	0
FGFBP1	1.14936047522115	0	0
ADAM15	1.80023648004491	0	0
RNF141	1.30524978682078	0	0
LINC01420	1.04702687687679	0	0
CARD11	1.23706200959782	0	0
AIM2	3.95042277126924	0	0
INPP1	1.15284983873714	0	0
RFWD2	1.39773619070633	0	0
SOWAHB	1.2505452072202	0	0
SUCLG2	1.41819803542301	0	0
IL32	1.17877688817551	0	0
ADA	1.43323958366104	0	0
BPGM	2.07256582860022	0	0
GJB4	1.90896554478848	0	0
APOL3	1.27990509427015	0	0
RHPN2	1.07446311024378	0	0
S100A8	1.22444137753952	0	0
GALNT2	1.23617292315222	0	0
FAM110C	1.51222120586927	0	0
KCP	1.68954403721136	0	0
CFB	1.32902495828038	0	0
RAB9A	1.64295664900616	0	0
FAM220A	1.12771206331805	0	0
ALDH18A1	1.09261998652796	0	0
DCK	1.11397200015894	0	0
CACUL1	1.2439463855768	0	0
BACE2	2.44851735217765	0	0
RNF168	1.13150285625609	0	0
KLK10	1.44420772454155	0	0
CLDN1	1.13834348000727	0	0
C1GALT1C1	1.12269283442522	0	0
LOC344887	3.03344416710085	0	0
SLC6A14	1.11555132402108	0	0
ADIRF	1.12450875572609	0	0
VWA5A	2.21024311183865	0	0
PDZK1IP1	1.13059159385374	0	0
FYB	2.37401168960799	0	0
CXCL11	4.13738695677568	0	0
HLA-F	1.30530817375287	0	0
UBE2L6	1.00662362645001	0	0
CNOT8	1.29112907993461	0	0
COG2	1.25500614251388	0	0
ERO1A	2.53027517295618	0	0
C20orf24	1.08075462994964	0	0
PGD	2.02945079718288	0	0
ACE2	1.3501300460899	0	0
CAPZA2	1.18800759767956	0	0
CXCL16	1.22348218339712	0	0
C15orf48	2.00297026982752	0	0
STK24	1.52691956723	0	0
MUC20	1.94847168871275	0	0
HADHB	1.03867801183385	0	0
ETFB	1.18457520373912	0	0
CFH	1.1317147951746	0	0
ITGB1	1.63825036920416	0	0
IDH1	1.78995090924272	0	0
MPZL2	1.24680478531168	0	0
HN1	1.18783584014807	0	0
WDR72	1.98546205459068	0	0
KRT17	1.01400010367789	0	0
BZW1	1.17694217938641	0	0
PSMB10	1.02106190761679	0	0
RCN1	1.09795631682125	0	0
CIB2	1.07895929572461	0	0
CYB5R4	1.2026613003861	0	0
RAB10	1.01636915170687	0	0
PIM1	1.04416357120934	0	0
CDK16	1.06711596699426	0	0
IL15	1.32848765930158	0	0
GBP4	1.09673591676949	0	0
CBR1	1.94962155972819	0	0
TMCC3	2.15751354393705	0	0
ELOVL6	1.48058903110614	0	0
ANKRD13A	1.19266627607536	0	0
UQCRFS1	1.04342735184185	0	0
HEXB	1.42269840612126	0	0
TMEM171	1.37587721161508	0	0
UCHL1	1.3909791786458	0	0
PTAFR	1.14819141946147	0	0
LCN2	1.3197015393241	0	0
CLMP	1.62017172391924	0	0
IL20RB	1.92259121385303	0	0
GGACT	1.17121274071897	0	0
STYK1	1.09855245353677	0	0
PPP2R2C	1.25898831357167	0	0
ARPC5	1.39627215882688	0	0
EVA1C	1.03699434678749	0	0
CENPW	1.59841430033525	0	0
HOTAIRM1	1.77438676688833	0	0
SFN	1.34042789743106	0	0
VDAC2	1.03992347441142	0	0
ADGRF4	2.18761089006422	0	0
TMEM117	1.72429459358376	0	0
ST14	1.6739491283213	0	0
CBR3	1.0231830346228	0	0
SPPL2A	1.04601594353065	0	0
GJB5	1.64784891225094	0	0
ACOT7	1.63787718873656	0	0
SH3KBP1	1.6530641265462	0	0
TMEM33	1.21104765855844	0	0
COPG1	1.00377132839205	0	0
FEZ1	1.9867252095848	0	0
GRHL3	1.46390100927688	0	0
MIR100HG	2.26221931563957	0	0
GPX2	1.44000916249156	0	0
EDN2	2.44287538399833	0	0
IL1RN	1.85297086241549	0	0
PLEK2	1.18564748439184	0	0
GTDC1	1.20216654789008	0	0
KLK8	3.72738006906243	0	0
SYPL1	1.31732251233669	0	0
WDR45B	1.05521977858584	0	0
STON2	1.02569773525437	0	0
IPPK	1.07619622085295	0	0
GOLM1	1.82295151860687	0	0
PRAP1	2.80930217676349	0	0
LINC01116	1.50326339951209	0	0
PPT1	1.06654862468427	0	0
OASL	1.98542507803943	0	0
LOC102723373	1.0888896501644	0	0
IL2RG	1.08579846256656	0	0
PARP15	1.44963733388392	0	0
SMS	1.44944082343912	0	0
LINC00491	1.07482282158471	0	0
S100A2	3.38117215441922	0	0
GPR157	1.11543879475718	0	0
SLC15A2	1.05240744050201	0	0
UPK3BL	1.0165832413997	0	0
LITAF	1.17378253659156	0	0
TPM2	2.61424239991454	0	0
GPRC5A	1.11913172019366	0	0
WARS	1.3733093657728	0	0
NENF	1.11579237830549	0	0
TNFRSF6B	1.71662294823802	0	0
SLC15A3	1.14100795583209	0	0
EXOC3L4	1.51285989990412	0	0
AUNIP	1.42810456453629	0	0
FXYD3	1.48490737589841	0	0
OCLN	1.01480254158627	0	0
HOXD9	1.24654618595617	0	0
SNAI2	2.49048187178621	0	0
GSTK1	1.25771279965381	0	0
FABP5	1.43505243383521	0	0
SRRM3	1.17962388065638	0	0
BDKRB1	1.35788222658554	0	0
GPI	1.04648348844486	0	0
H6PD	1.52935855309847	0	0
MIR205HG	1.48297044627567	0	0
COPZ2	1.58879768585753	0	0
TYMP	1.3601496592649	0	0
ARPC2	1.05259128103462	0	0
EGLN3	1.32216566376254	0	0
ITFG1	1.17522296765252	0	0
PHEX	1.43636663595733	0	0
EFNB1	1.124977743112	0	0
TMEM45A	1.25324729218503	0	0
FOSL1	1.58863608033032	0	0
TCN1	1.56618821213413	0	0
ARPC1A	1.12858848554673	0	0
PTGR1	1.10789600630142	0	0
LDHA	1.75917955074413	0	0
SERPINB9P1	1.21693346023255	0	0
SCCPDH	2.38771203666774	0	0
ERGIC1	1.07165840778518	0	0
QSOX1	1.74598817759712	0	0
FBXO17	1.52664954041879	0	0
PTP4A2	1.24071922501821	0	0
HAGLROS	1.04706792053586	0	0
FAM83A-AS1	1.10994860243896	0	0
HAPLN3	1.08789809803034	0	0
TALDO1	1.09941299792004	0	0
C1orf61	1.07808764974613	0	0
SGSM3	1.47558350652586	0	0
KLK6	3.4524384761218	0	0
FIRRE	2.02784196038129	0	0
FOXE1	1.4913229182007	0	0
NDUFA4L2	3.12041827994271	0	0
CCNB2	1.32658390323778	0	0
UBE2C	2.13661310103307	0	0
CDKN3	1.86907852877783	0	0
UPK2	2.26018967305477	0	0
GDE1	1.22923781164317	0	0
POPDC3	2.11853768072819	0	0
BIRC5	1.61090261164732	0	0
USP30-AS1	1.09080393764625	0	0
CTSB	1.19863901744623	0	0
AKR1B15	1.90811723103462	0	0
ZWINT	1.06798821962534	0	0
KIAA0101	1.14117844190445	0	0
CXCL10	3.7398669684341	0	0
TM4SF19	1.37048262451936	0	0
KLK7	1.61097781449547	0	0
PITX2	2.13045660604718	0	0
STXBP6	1.05173635047697	0	0
ARPC1B	1.01616700034251	0	0
TPX2	1.22544630520204	0	0
FAM107B	1.08774682774286	0	0
APOBEC3A	2.3154087117164	0	0
CEP55	1.40944749046024	0	0
MELK	1.31540139088	0	0
LINC01260	1.45741485336215	0	0
TXN	1.07525326271029	0	0
ASPM	1.45556887661325	0	0
CDC20	1.23698240342293	0	0
PKMYT1	1.10573284534188	0	0
ORC6	1.11551494577097	0	0
PBK	1.72563010492545	0	0
APOL4	1.69022101271321	0	0
CALHM2	1.75545516795507	0	0
SPOCD1	1.13633549849335	0	0
MAB21L3	1.01551667071696	0	0
TMPRSS11D	1.54524650211167	0	0
CCNB1	1.15577497902101	0	0
SP140	1.87437591629154	0	0
TROAP	1.24278257630405	0	0
PGK1	1.55567188593776	0	0
ABLIM3	1.47754643539849	0	0
TMEM71	1.04414217872417	0	0
CKAP2L	1.45220034403397	0	0
ARL11	1.00091106394578	0	0
SGOL1	1.1416867701539	0	0
PLK1	1.65303869458277	0	0
SLC37A2	1.00278376990688	0	0
GINS2	1.01994676599621	0	0
AURKB	1.69507008890338	0	0
IL4I1	1.2948432669035	0	0
CAPN2	1.04615392193637	0	0
CDCA3	1.68316507579829	0	0
ABCG2	1.21539270151967	0	0
MYBL2	1.30842771226016	0	0
ALK	1.35369996651756	0	0
SPC25	1.34026563023825	0	0
CDK1	1.0763354945216	0	0
KRT7	1.10206529581928	0	0
PTTG1	1.18629350591821	0	0
HSPA7	2.80877137606384	0	0
ALDOA	1.55948570147206	0	0
KRT19	1.07140587391853	0	0
TACSTD2	1.33123048371963	0	0
PLA2G16	1.41651700970199	0	0
RAC1	1.13698911167379	0	0
TMSB10	1.27839583013985	0	0
AKR1C3	1.68175064528669	0	0
SUSD2	0	3.42204851191944	0
MS4A15	0	4.72601228651282	0
SFTPB	0	1.80512917404125	0
AQP4	0	4.29167376884456	0
SFTPD	0	3.23074704525346	0
RGS16	0	3.18393774555211	0
C16orf89	0	1.6726546178741	0
TNS1	0	2.54206753902618	0
CYP4B1	0	1.76955016066488	0
C4BPA	0	1.80968472759407	0
NKX2-1	0	1.75929516924063	0
DLC1	0	3.14999305327681	0
SCGB3A1	0	2.48756484875543	0
FLRT3	0	3.05833852392578	0
ADGRF5	0	1.40087317526929	0
SFTA3	0	1.86902045981949	0
RNASE1	0	1.96652378953042	0
NFIX	0	1.96177421505126	0
AQP1	0	1.89706225846347	0
CYP2B7P	0	2.28360175619044	0
SLC22A31	0	1.94828832215653	0
CYBRD1	0	2.17360372387328	0
SCNN1B	0	2.40076281972472	0
PLXNA2	0	2.41309110969739	0
ICAM4	0	2.24625362511592	0
CLIC6	0	1.94788613733762	0
ATP13A4	0	2.14314026051549	0
FOXA2	0	1.44997021437808	0
CADM1	0	2.8335518091327	0
CACNA2D2	0	2.87959678155898	0
PGC	0	4.75925239854469	0
ADGRD1	0	2.58241751934264	0
PDE4C	0	2.86250916919554	0
AASS	0	2.09764697011108	0
CTSE	0	1.09999741490133	0
PEBP4	0	3.85854229136987	0
AGER	0	4.37943467841908	0
SCGB3A2	0	2.39887174032001	0
CLDN18	0	5.23060838166402	0
GAS6	0	2.16025237254869	0
AQP5	0	1.12975081039177	1.0806670451952
ABCA3	0	2.14136033648574	0
FAM184A	0	1.77364682497251	0
CD302	0	1.97956871486384	0
GATA6	0	2.53734730243538	0
GLS	0	1.6808036960439	0
ABCC6	0	2.1032938113612	0
KIAA1683	0	1.86842429225884	0
ANKRD29	0	3.11875196508018	0
GGTLC1	0	2.70770041907857	0
GSTA4	0	1.93806836607919	0
HSD17B6	0	3.05134960622479	0
ITPR2	0	2.33442471170038	0
FAM46B	0	1.86233390323023	0
PRDM16	0	2.14170210857998	0
TBC1D24	0	2.00551299404898	0
FOSB	0	1.16833418898486	0
CEBPA	0	2.11259694702168	0
LRRN4	0	2.88824778759662	0
GLCCI1	0	1.95594594765487	0
TMEM37	0	1.46942640927119	0
LRIG2	0	2.50577161220875	0
ZDHHC11	0	2.405480577653	0
P3H2	0	2.78544130733686	0
TNS3	0	1.70173772515757	0
PID1	0	1.9460050373162	0
PTGS2	0	1.39049693014891	0
KCNJ15	0	2.08157962200422	0
SLC22A3	0	1.80335895280486	0
UTRN	0	1.45832009358778	0
ESAM	0	2.40375104477078	0
BTG2	0	1.03741478533099	0
FAM46C	0	1.33112257177494	0
DPP4	0	1.11469643957171	0
COL4A3	0	2.40192845080149	0
CREB3L1	0	1.7423140054839	0
FOLR1	0	1.20785282829219	0
MARC1	0	2.03908486017946	0
AHCYL2	0	1.82306254692696	0
IRX3	0	1.45432438210385	0
FBLN5	0	1.96163003375856	0
ADRB2	0	1.27973315876474	0
RCN3	0	2.25096730004682	0
MAGI3	0	1.90747637867285	0
LPCAT1	0	1.09378051161913	0
TMPRSS2	0	1.63943265721656	0
GDF15	0	1.0691901877742	0
ATHL1	0	1.46705859271664	0
IRX2	0	1.52646564117834	0
NECAB3	0	2.18967236618498	0
PLLP	0	1.36680166843037	0
MST1P2	0	2.33927067762614	0
LRRK2	0	2.14113817817121	0
GSE1	0	1.30772695237891	0
CACHD1	0	1.58837344356	0
FOXN3	0	1.58561606805898	0
FLJ37453	0	1.76999562837741	0
SCTR	0	2.34656955200374	0
PRICKLE1	0	2.19656977907152	0
SULT1A1	0	1.13990285306994	0
PER3	0	1.61386604895029	0
FERMT2	0	1.82465339910352	0
SYDE2	0	1.87711673913698	0
RNF212	0	1.80000482902921	0
SULT1A2	0	2.03525291135511	0
LOC643441	0	2.76566045936293	0
ICAM1	0	1.43357377470069	0
MST1L	0	1.90636384672793	0
KCNK5	0	1.20737292357154	0
RIMKLA	0	1.62234513013686	0
BCAT1	0	2.68393137745083	0
MMP28	0	1.16264489039596	0
FHOD1	0	1.75016086865141	0
CPM	0	1.32599175564912	0
MBIP	0	1.28756153078944	0
NUP210L	0	1.67064575640014	0
PTK7	0	1.32564339861584	0
SOD3	0	2.33946096170853	0
PEG10	0	2.42269322685872	0
SFTA2	0	1.47991344603516	0
NOD1	0	1.94349544729205	0
BMP4	0	1.71494007681247	0
SNHG9	0	1.43183419566986	0
HBEGF	0	1.53877072609055	0
MYL9	0	1.30332501613847	0
AARD	0	2.54160312430183	0
PTCSC3	0	3.29596937515678	0
FGFR1	0	2.21851114125558	0
PHACTR1	0	2.01221339803686	0
LMO3	0	1.14346922497948	0
LRRC36	0	2.74954519720464	0
BAMBI	0	1.30454896056299	0
EVA1A	0	1.04155064054897	0
C1orf116	0	1.76726025455144	0
GYLTL1B	0	1.29108073003036	0
SELENBP1	0	1.73408599732246	0
PALM3	0	2.64585753226433	0
CLIC3	0	2.03926148822132	0
CRTAC1	0	3.38282799812392	0
SNAI1	0	2.28797402117624	0
HOXD1	0	1.5033990869457	0
CMAHP	0	1.20055852952681	0
CLUHP3	0	2.02036240447386	0
KLF13	0	1.37426730306568	0
CGNL1	0	1.48321047728724	0
ADAMTS1	0	1.50542985279072	0
HPN	0	1.02822823582421	0
AK1	0	1.6710699443784	0
TMEM130	0	2.83067872746862	0
JPH1	0	2.05887341245291	0
CXCL14	0	1.88412945880152	0
CITED2	0	1.34201690419033	0
RASL11A	0	1.71282855146863	0
PDZD2	0	1.2085195543692	0
SFTA1P	0	1.21994801091647	0
CA2	0	1.462743131458	0
CLIC2	0	1.25838578742832	0
GSTM1	0	2.16508227673655	0
ARHGAP24	0	1.51800704726119	0
COL4A4	0	1.74262797860464	0
ARHGEF19	0	1.54987153911434	0
VEPH1	0	1.48912040321374	0
IRX5	0	1.08565827611308	0
CD83	0	1.0147822398031	0
KCNQ1OT1	0	1.25571137546529	0
SNTB1	0	1.31491232722071	0
MMP15	0	1.7670210756209	0
NDNF	0	2.18486753998472	0
CIT	0	1.21844425921446	0
TMEM125	0	1.52402025580942	0
ATP13A4-AS1	0	1.7792361657712	0
DAPK2	0	1.61424581478548	0
CPAMD8	0	1.85339862358762	0
SFTPC	0	2.9837759879976	0
ESYT3	0	2.16011044314899	0
HLA-DMB	0	1.2497443296426	0
FBXL16	0	2.36520818188273	0
USP44	0	1.58116959850376	0
CECR2	0	1.4436352095849	0
UBTD1	0	1.17729810592739	0
LRP6	0	1.19439898342973	0
JDP2	0	1.55034753620976	0
SLC41A1	0	1.46655211379888	0
MRC2	0	2.05049058112514	0
TAOK2	0	1.65702016187654	0
SEMA4A	0	1.49281153620817	0
ACADSB	0	1.28892037340133	0
ARHGAP31	0	2.30909120233957	0
CYFIP2	0	1.59936904078181	0
SLC34A2	0	1.28408491841804	0
MFSD4	0	1.15673763319855	0
ERO1B	0	1.33155877671789	0
CDH15	0	2.38750538296832	0
LDHD	0	2.05151254704867	0
KLHL35	0	1.76752098477407	0
HIP1	0	1.02664014939059	0
PLEKHG4B	0	1.17474473962315	0
MTRNR2L2	0	1.08422282628617	0
C12orf65	0	1.46836990234404	0
HIRIP3	0	1.32453665160951	0
RNF5P1	0	1.46571716186087	0
HLA-DQB2	0	1.23129823811295	0
CFTR	0	2.18220498817138	0
NINJ2	0	2.14199446121037	0
PYGB	0	1.19106133066214	0
MEF2C	0	1.47340248513825	0
LMO4	0	1.1211612991918	0
ARHGEF17	0	1.6906352049716	0
ARHGEF2	0	1.33820257701349	0
TSPYL2	0	1.16061931722756	0
ROR1	0	1.30182653058404	0
CTSF	0	1.26430772452744	0
LOC101927132	0	2.29115462255647	0
AXIN2	0	2.51283772605336	0
CISH	0	1.45619427137758	0
ATP8A1	0	1.63526924338771	0
PDXDC2P	0	1.47955063108128	0
DLX3	0	2.07529306476555	0
PRR3	0	1.66406588898858	0
ROS1	0	1.0789335982504	0
ABCC6P1	0	1.49713939644825	0
CAV1	0	2.01949444803374	0
FNIP2	0	1.5626189241046	0
DAPK1	0	1.33710296556429	0
MXRA8	0	1.83168918264101	0
USP13	0	1.19115980570415	0
COLEC12	0	1.8156836011811	0
PRDM2	0	1.31828449558828	0
ADCY9	0	1.4075328648989	0
CYP4Z2P	0	2.02218283425256	0
ZHX3	0	1.57920406567209	0
LOC728613	0	1.01451203976026	0
AFF3	0	3.19754231749144	0
BEX2	0	1.47297972247488	0
SCUBE3	0	1.87684510467094	0
HAGLR	0	1.06562936436189	0
ICAM5	0	1.91286456727747	0
FAM189A2	0	1.91364117030943	0
ADCY7	0	1.76713116987161	0
RASSF5	0	1.29818288094971	0
C1orf198	0	1.02574444740906	0
TAPT1	0	1.23842663048053	0
ADRB1	0	1.25112247838558	0
INPP5B	0	1.23417053565576	0
SCNN1G	0	1.90436748953003	0
PCF11	0	1.37247251529291	0
GRB10	0	1.16295908600131	0
PLEKHG2	0	2.34866057640926	0
VSIG2	0	1.01691157005077	0
TNNC1	0	2.1515808958942	0
CPQ	0	1.1853960280657	0
MYLIP	0	1.58836268106236	0
GNG7	0	1.82089459095066	0
SALL2	0	1.81936480885192	0
HOXC10	0	2.09261895294976	0
RSBN1	0	1.0538532442105	0
EEF2K	0	1.27927915363882	0
MYCL	0	1.36501625906369	0
FZD2	0	2.70006515806668	0
SLC9A5	0	2.25489240926261	0
TNFSF15	0	1.23327759005392	0
KHDRBS2	0	2.45251703962	0
NPIPB5	0	1.0131973992746	0
ACSS1	0	1.37567759076948	0
PPM1K	0	1.02229249771218	0
ARHGAP44	0	1.54017273730371	0
PHLDB1	0	1.28050711311211	0
ZNF219	0	1.24004864220393	0
GCNT2	0	1.12666990026223	0
PPP1R10	0	1.60787986082467	0
ZSCAN31	0	1.47906723928316	0
MDN1	0	1.08871491732569	0
NCDN	0	1.29389706665593	0
CHD8	0	1.17862695468809	0
SLC47A1	0	1.83842621652878	0
ORMDL3	0	1.17814765227883	0
LRRC75B	0	1.25797216821281	0
MAP1LC3A	0	1.22019968919508	0
C16orf58	0	1.10866989574136	0
FAM129A	0	1.45226315808121	0
LRRC25	0	2.6955581551881	0
TPPP	0	2.13336215177956	0
ADCK3	0	1.11712449024516	0
RCOR1	0	1.15195207013261	0
ECEL1P2	0	2.25549407380899	0
MTHFR	0	1.52483460534341	0
MIA3	0	1.01562043511107	0
PTPRS	0	1.0243826325899	0
DAAM2	0	1.99583644977759	0
FABP3	0	2.31156944136521	0
ZNF503	0	1.5314101726322	0
RNPC3	0	1.09678785157669	0
SZT2	0	1.71450955114749	0
PRF1	0	2.72740843413898	0
GJA1	0	1.70504726637165	0
MAPK8IP3	0	1.15104874799932	0
SLC7A6	0	1.39840821985457	0
BRDT	0	2.69028912011883	0
ATP11A-AS1	0	2.65556420924988	0
ZNF204P	0	1.13255662593785	0
SLC16A10	0	1.60049252203983	0
CARD8	0	1.29363712428427	0
SDPR	0	1.2727932875594	0
NBPF1	0	1.22780105818567	0
CAPN3	0	1.61924505025264	0
MED26	0	1.58745039749114	0
EVL	0	1.14974419556997	0
NPTX1	0	3.33122748316447	0
MT1L	0	1.36975384930864	0
TSPAN12	0	1.23195169495847	0
SNHG12	0	1.14487505116796	0
LL22NC03-75H12.2	0	1.65648167385321	0
LOC100190986	0	1.0242107729244	0
CRLS1	0	1.14193141357721	0
ABCA1	0	1.30205332364811	0
BCOR	0	1.38207327878247	0
ZBTB8A	0	1.41951106005901	0
ALDH2	0	1.14372545762755	0
IL6R	0	1.04867204207019	0
