© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Estrogen Receptor Signaling	4.26E00	1.19E-01	NaN	POLR2J2/POLR2J3,RAP2B,RAP1B,CCNH,POLR2D,MED23,SOS2,NCOA3,EP300,CTBP1,SHC1,DDX5,MED17,NCOA2,SPEN,MAP2K1
HGF Signaling	4.22E00	1.24E-01	-2.673	ETS1,RAP2B,RAP1B,PRKCQ,CRKL,PIK3R1,SOS2,STAT3,PIK3CG,MAP3K7,PRKCH,MAP3K8,MAP2K1,PRKCB,MAP3K2
Glioma Signaling	4.18E00	1.23E-01	-2.309	RAP2B,RAP1B,RBL2,PRKCQ,CAMK4,PIK3R1,SOS2,ABL1,MDM2,PTEN,SHC1,PIK3CG,PRKCH,MAP2K1,PRKCB
Phospholipase C Signaling	4.16E00	9.43E-02	-4.264	RAP2B,RAP1B,FYN,RELA,CAMK4,PRKCQ,NFATC3,SOS2,RPS6KA3,PPP1CB,ARHGEF1,ITPR1,NFKB1,RHOH,EP300,SHC1,LCK,PPP3R1,PRKCH,ARHGEF3,MAP2K1,ITK,PRKCB
Rac Signaling	4.1E00	1.21E-01	-2.840	RAP2B,RAP1B,ACTR2,RELA,PIK3R1,LIMK2,IQGAP1,NFKB1,IQGAP2,CYFIP2,ACTR3,PIK3CG,MAP2K1,ELK4,PIP4K2C
Actin Cytoskeleton Signaling	4.08E00	9.52E-02	-1.342	RAP2B,RAP1B,ACTR2,PIK3R1,CRKL,SOS2,PPP1CB,CRK,ARHGEF1,LIMK2,IQGAP1,SSH1,SHC1,IQGAP2,ACTR3,CYFIP2,EZR,PIK3CG,VAV3,NCKAP1L,SSH2,MAP2K1
NGF Signaling	4.06E00	1.2E-01	-2.840	RAP2B,RAP1B,RELA,PIK3R1,SOS2,RPS6KA3,CRK,NFKB1,TRAF6,SHC1,PIK3CG,MAP3K7,MAP3K8,MAP2K1,MAP3K2
p70S6K Signaling	4.03E00	1.14E-01	-1.604	RAP2B,RAP1B,PRKCQ,PPP2CA,EEF2,PPP2R2A,PIK3R1,SOS2,YWHAZ,PPP2R5A,YWHAQ,SHC1,PIK3CG,PRKCH,MAP2K1,PRKCB
NF-κB Signaling	3.97E00	1.02E-01	-2.357	RAP2B,RAP1B,RELA,PRKCQ,PIK3R1,TNFAIP3,NFKB1,EP300,TRAF6,BRAF,TANK,LCK,PIK3CG,UBE2V1,PELI1,MAP3K7,MAP3K8,EIF2AK2,PRKCB
eNOS Signaling	3.89E00	1.03E-01	-1.213	CAMK4,PRKCQ,CASP3,PIK3R1,HSPA9,HSPA1A/HSPA1B,HSPA6,ITPR1,HSPA5,HSPA8,HSPA4,LPAR6,LPAR2,PIK3CG,PRKAG2,PRKCH,PRKAR1A,PRKCB
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	3.88E00	8.36E-02	NaN	IL6ST,RAP2B,RAP1B,RELA,SOCS3,SOCS1,CAMK4,NFATC3,PIK3R1,CEBPZ,NFKB1,PIK3CG,PPP3R1,MAP3K7,CTNNB1,MAP2K1,TRAF1,PRKCQ,IL6R,STAT3,CEBPB,IL18RAP,IL16,TRAF6,LEF1,PRKCH,PRKCB
Acute Phase Response Signaling	3.83E00	1.02E-01	-2.357	RAP2B,RAP1B,IL6ST,SOCS1,RELA,SOCS3,PIK3R1,IL6R,SOS2,CEBPB,STAT3,NFKB1,HNRNPK,TRAF6,SHC1,PIK3CG,MAP3K7,MAP2K1
Ephrin Receptor Signaling	3.8E00	1.02E-01	-2.183	RAP2B,RAP1B,FYN,ACTR2,CRKL,SOS2,ABL1,CRK,LIMK2,NCK1,STAT3,NCK2,SHC1,ACTR3,SDCBP,PIK3CG,MAP2K1,RASA1
STAT3 Pathway	3.79E00	1.14E-01	-1.414	RAP2B,RAP1B,IL6ST,SOCS1,SOCS3,IL21R,IL6R,IL12RB2,STAT3,IL18RAP,IL10RA,IL10RB,IL2RA,MAP2K1,IFNAR1
Pyridoxal 5'-phosphate Salvage Pathway	3.77E00	1.54E-01	-1.897	BRAF,PRKCQ,LIMK2,MAP3K8,PRKCH,EIF2AK2,HIPK1,MAP2K1,PKN1,DYRK1A
Calcium-induced T Lymphocyte Apoptosis	3.71E00	1.52E-01	-2.828	LCK,PRKCQ,CAMK4,PPP3R1,PRKCH,CAPN2,ITPR1,EP300,PRKCB,ORAI1
ErbB Signaling	3.69E00	1.23E-01	-1.941	NCK2,RAP1B,RAP2B,SHC1,PRKCQ,FOXO1,PIK3R1,PIK3CG,SOS2,PRKCH,NCK1,MAP2K1,PRKCB
Leukocyte Extravasation Signaling	3.68E00	9.39E-02	-2.982	RAP1B,PRKCQ,PIK3R1,CRKL,ABL1,CRK,NCF4,RHOH,ITGB2,ARHGAP9,EZR,VAV3,PIK3CG,PECAM1,PRKCH,RASSF5,CTNNB1,ARHGAP1,ITK,PRKCB
CD40 Signaling	3.6E00	1.36E-01	-1.508	TANK,TRAF6,RELA,PIK3R1,PIK3CG,MAP3K7,TNFAIP3,STAT3,NFKB1,MAP2K1,TRAF1
GM-CSF Signaling	3.6E00	1.36E-01	-1.897	RAP1B,RAP2B,ETS1,SHC1,PPP3R1,PIK3R1,PIK3CG,SOS2,STAT3,MAP2K1,PRKCB
NF-κB Activation by Viruses	3.57E00	1.26E-01	-2.887	RAP1B,RAP2B,ITGB2,RELA,LCK,PRKCQ,PIK3R1,PIK3CG,PRKCH,EIF2AK2,NFKB1,PRKCB
3-phosphoinositide Biosynthesis	3.53E00	9.41E-02	-3.900	WBP11,FYN,SOCS3,PIK3R1,PPTC7,ACP5,PPM1K,PPP2R5A,DUSP2,PTEN,LCK,ATP1A1,DUSP1,DUSP10,PIK3CG,ICOS,NUDT4,RASA1,PIP4K2C
PPARα/RXRα Activation	3.53E00	9.68E-02	2.183	RAP2B,RAP1B,RELA,MED23,SOS2,NFKB1,NCOA3,IL18RAP,EP300,TRAF6,SHC1,GK,MAP3K7,PRKAG2,SMAD4,MAP2K1,PRKAR1A,PRKCB
RAN Signaling	3.47E00	2.94E-01	NaN	RANBP2,TNPO1,RANGAP1,KPNA2,KPNA1
Apelin Pancreas Signaling Pathway	3.42E00	1.53E-01	1.000	RELA,DDIT3,PDE3B,ERN1,PIK3R1,PIK3CG,PRKAG2,NFKB1,PRKAR1A
RAR Activation	3.42E00	9.47E-02	NaN	RELA,CCNH,PRKCQ,PIK3R1,ARID2,NFKB1,EP300,PTEN,DUSP1,PIK3CG,PRKAG2,SMAD4,PRKCH,REL,MAP2K1,SCAND1,PRKAR1A,PRKCB
Thrombopoietin Signaling	3.4E00	1.39E-01	-2.530	RAP1B,RAP2B,SHC1,PRKCQ,PIK3R1,PIK3CG,PRKCH,STAT3,MAP2K1,PRKCB
IL-2 Signaling	3.4E00	1.39E-01	-1.897	RAP1B,RAP2B,SOCS1,SHC1,LCK,PIK3R1,PIK3CG,SOS2,IL2RA,MAP2K1
Role of NFAT in Regulation of the Immune Response	3.33E00	9.33E-02	-3.000	RAP2B,RAP1B,AKAP5,FYN,RELA,CAMK4,PRKCQ,NFATC3,PIK3R1,SOS2,ITPR1,NFKB1,LCK,PIK3CG,PPP3R1,MAP2K1,ITK,ORAI1
PPAR Signaling	3.32E00	1.19E-01	2.309	RAP1B,RAP2B,TRAF6,SHC1,RELA,SOS2,MAP3K7,NFKB1,MAP2K1,SCAND1,IL18RAP,EP300
Opioid Signaling Pathway	3.27E00	8.54E-02	-3.710	RAP2B,RAP1B,RGS1,FYN,CAMK4,PRKCQ,SOS2,RPS6KA3,ITPR1,NFKB1,EP300,BRAF,LCK,PIK3CG,PPP3R1,PRKAG2,PRKCH,CTNNB1,MAP2K1,PRKAR1A,PRKCB
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	3.25E00	9.18E-02	-1.213	RAP1B,RELA,PRKCQ,PPP2CA,PPP2R2A,PIK3R1,PPP1CB,NCF4,NFKB1,RHOH,PPP2R5A,PIK3CG,MAP3K7,MAP3K8,PRKCH,MAP2K1,MAP3K2,PRKCB
Superpathway of Cholesterol Biosynthesis	3.25E00	2.14E-01	-2.449	FDFT1,DHCR7,IDI1,HADHA,SC5D,LBR
IL-12 Signaling and Production in Macrophages	3.25E00	1.01E-01	NaN	RELA,PRKCQ,PIK3R1,IL12RB2,CEBPB,NFKB1,EP300,TRAF6,STAT4,PIK3CG,PRKCH,MAP3K8,REL,MAP2K1,PRKCB
Regulation of the Epithelial-Mesenchymal Transition Pathway	3.23E00	9.14E-02	NaN	ETS1,RAP2B,RAP1B,RELA,PIK3R1,SOS2,HIF1A,STAT3,ZEB1,NFKB1,BRAF,PYGO2,PIK3CG,ZEB2,SMAD4,LEF1,CTNNB1,MAP2K1
Melanocyte Development and Pigmentation Signaling	3.17E00	1.14E-01	-2.887	RAP1B,RAP2B,SHC1,PIK3R1,PIK3CG,SOS2,RPS6KA3,PRKAG2,CRK,MAP2K1,EP300,PRKAR1A
ErbB2-ErbB3 Signaling	3.16E00	1.3E-01	-1.265	RAP1B,RAP2B,SHC1,FOXO1,PIK3R1,PIK3CG,SOS2,STAT3,MAP2K1,PTEN
PKCθ Signaling in T Lymphocytes	3.15E00	9.58E-02	-3.000	RAP2B,RAP1B,RELA,FYN,PRKCQ,NFATC3,PIK3R1,SOS2,NFKB1,LCK,PPP3R1,VAV3,PIK3CG,MAP3K7,MAP3K8,MAP3K2
VDR/RXR Activation	3.12E00	1.28E-01	1.890	PRKCQ,GADD45A,NCOA2,FOXO1,MXD1,PRKCH,CEBPB,NCOA3,EP300,PRKCB
Role of JAK1 and JAK3 in γc Cytokine Signaling	3.12E00	1.28E-01	NaN	RAP1B,RAP2B,SOCS3,SOCS1,SHC1,IL21R,PIK3R1,PIK3CG,IL2RA,STAT3
Superpathway of Inositol Phosphate Compounds	3.08E00	8.44E-02	-4.025	WBP11,FYN,SOCS3,PIK3R1,PPTC7,ACP5,PPM1K,PPP2R5A,DUSP2,PTEN,LCK,ATP1A1,DUSP1,DUSP10,PIK3CG,ICOS,IP6K1,NUDT4,RASA1,PIP4K2C
GNRH Signaling	3.07E00	9.41E-02	-2.324	RAP2B,RAP1B,RELA,PRKCQ,CAMK4,SOS2,ITPR1,NFKB1,MAP3K7,PRKAG2,PRKCH,MAP3K8,MAP2K1,PRKCB,MAP3K2,PRKAR1A
RhoA Signaling	3.06E00	1.06E-01	-1.387	ACTR2,PPP1CB,LIMK2,ARHGEF1,PKN1,LPAR6,ACTR3,ARHGAP9,LPAR2,EZR,ARHGAP1,SEPT2,PIP4K2C
PTEN Signaling	3.06E00	1.06E-01	1.155	RAP2B,RAP1B,SHC1,RELA,FOXO1,CASP3,PIK3CG,PIK3R1,SOS2,NFKB1,MAP2K1,BCL2L11,PTEN
Sirtuin Signaling Pathway	3.04E00	7.88E-02	-0.894	SDHA,RELA,PFKFB3,GTF3C2,SMARCA5,HIF1A,STAT3,NFKB1,ATG2A,ATG13,TIMM23B,GADD45A,FOXO1,GABARAPL1,XRCC6,ZBTB14,ATG2B,MAP1LC3A,NAMPT,NFE2L2,ATG16L1,BCL2L11,XRCC5
ErbB4 Signaling	3.03E00	1.25E-01	-2.530	RAP1B,RAP2B,SHC1,PRKCQ,PIK3R1,PIK3CG,SOS2,PRKCH,MAP2K1,PRKCB
LPS-stimulated MAPK Signaling	3E00	1.16E-01	-2.111	RAP1B,RAP2B,RELA,PRKCQ,PIK3R1,PIK3CG,MAP3K7,PRKCH,NFKB1,MAP2K1,PRKCB
Synaptic Long Term Potentiation	2.96E00	1.03E-01	-2.887	RAP2B,RAP1B,PRKCQ,CAMK4,PPP1CB,ITPR1,EP300,PPP3R1,PRKAG2,PRKCH,MAP2K1,PRKCB,PRKAR1A
HER-2 Signaling in Breast Cancer	2.96E00	1.15E-01	NaN	RAP1B,RAP2B,ITGB2,PRKCQ,FOXO1,PIK3R1,PIK3CG,SOS2,PRKCH,MDM2,PRKCB
Apoptosis Signaling	2.96E00	1.15E-01	0.905	RAP1B,RAP2B,RELA,PRKCQ,CASP3,CAPN2,CAPN7,NFKB1,MAP2K1,BCL2L11,MCL1
BMP signaling pathway	2.95E00	1.22E-01	-3.162	RAP1B,RAP2B,RELA,CAMK4,MAP3K7,PRKAG2,SMAD4,NFKB1,MAP2K1,PRKAR1A
Cholesterol Biosynthesis I	2.94E00	3.08E-01	-2.000	FDFT1,DHCR7,SC5D,LBR
Cholesterol Biosynthesis II (via 24,25-dihydrolanosterol)	2.94E00	3.08E-01	-2.000	FDFT1,DHCR7,SC5D,LBR
Cholesterol Biosynthesis III (via Desmosterol)	2.94E00	3.08E-01	-2.000	FDFT1,DHCR7,SC5D,LBR
Role of NFAT in Cardiac Hypertrophy	2.94E00	8.41E-02	-3.300	RAP2B,RAP1B,IL6ST,AKAP5,CAMK4,PRKCQ,PIK3R1,SOS2,ITPR1,EP300,SHC1,PIK3CG,PPP3R1,MAP3K7,PRKAG2,PRKCH,MAP2K1,PRKAR1A,PRKCB
Apelin Endothelial Signaling Pathway	2.93E00	1.02E-01	-3.051	RAP1B,RAP2B,RELA,CAMK4,PRKCQ,PIK3CG,PIK3R1,PRKAG2,PRKCH,HIF1A,NFKB1,MAP2K1,PRKCB
Salvage Pathways of Pyrimidine Ribonucleotides	2.92E00	1.13E-01	-2.111	BRAF,PRKCQ,LIMK2,MAP3K8,PRKCH,CMPK1,EIF2AK2,HIPK1,MAP2K1,PKN1,DYRK1A
IL-10 Signaling	2.91E00	1.3E-01	NaN	TRAF6,SOCS3,RELA,MAP3K7,IL10RB,IL10RA,STAT3,NFKB1,IL18RAP
Lymphotoxin β Receptor Signaling	2.91E00	1.3E-01	-1.890	TRAF6,RELA,CASP3,PIK3R1,PIK3CG,NFKB1,TNFSF14,EP300,TRAF1
ERK5 Signaling	2.91E00	1.3E-01	-2.333	YWHAQ,RAP1B,RAP2B,IL6ST,RPS6KA3,YWHAZ,MAP3K8,ELK4,MAP3K2
Polyamine Regulation in Colon Cancer	2.91E00	2.27E-01	NaN	AZIN1,MXD1,SAT1,PSME4,CTNNB1
