© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Protein Kinase A Signaling	5.22E00	7.71E-02	-1.091	BAD,AKAP8,SMAD3,DUSP6,PDE4A,GSK3A,NFKB1,DUSP2,NFATC1,TGFBR2,FLNA,NFKBIB,CTNNB1,PTCH2,VASP,PTPN7,PTPRE,PDE4C,CREBBP,YWHAZ,NFKB2,PDE4B,GNAI2,NFKBID,ADD3,DUSP1,RHOA,CREM,PRKACA,EBI3,PRKCB
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	5.16E00	1.41E-01	-3.051	PLD4,FYN,GAB2,AKT2,ACTR3,WAS,EZR,HCK,CRK,VASP,FGR,LCP2,PRKCB
Hepatic Fibrosis / Hepatic Stellate Cell Activation	5.05E00	1.02E-01	NaN	CXCL8,IL1A,ICAM1,PDGFA,IL10,SMAD3,IL6R,IL1R1,NFKB2,CCL5,NFKB1,TGFBR2,IGF1,CSF1,TIMP1,IL1B,ECE1,TNFRSF1B,CCR7
iNOS Signaling	4.99E00	2E-01	-2.828	FOS,NFKBID,CREBBP,NFKB2,HMGA1,NFKB1,JAK3,NFKBIB,IRAK2
Molecular Mechanisms of Cancer	4.96E00	7.61E-02	NaN	FYN,GAB2,BAD,SMAD3,CDK4,CRK,GSK3A,ARHGEF1,NFKB1,TGFBR2,CTNNB1,NFKBIB,PTCH2,TP53,AKT2,CREBBP,NFKB2,GNAI2,BCL2L1,NFKBID,FOS,RHOA,CDKN1A,PRKACA,MAP2K3,CFLAR,JAK3,NOTCH1,LRP1,PRKCB
Chronic Myeloid Leukemia Signaling	4.88E00	1.25E-01	NaN	TP53,GAB2,AKT2,BAD,SMAD3,CDK4,HDAC10,CRK,NFKB2,NFKB1,CTBP1,TGFBR2,BCL2L1,CDKN1A
B Cell Receptor Signaling	4.82E00	9.79E-02	-2.982	GAB2,AKT2,CFL1,BAD,POU2F2,CREBBP,GSK3A,MALT1,NFKB2,BCL6,NFKB1,NFATC1,NFKBID,BCL2L1,MAP3K8,MAP2K3,RASSF5,NFKBIB,PRKCB
Dendritic Cell Maturation	4.79E00	9.74E-02	-3.441	IL1A,AKT2,ICAM1,IL10,RELB,IL32,CREBBP,CD83,NFKB2,NFKB1,NFKBID,IL1RN,HLA-C,FSCN1,IL1B,TNFRSF1B,NFKBIB,CCR7,HLA-DRB5
Neuroinflammation Signaling Pathway	4.62E00	8.04E-02	-4.200	CXCL8,AKT2,ICAM1,NLRP3,IL10,CREBBP,IL6R,NFKB2,CCL5,IL1R1,CX3CR1,NFKB1,NFATC1,TGFBR2,FOS,TICAM1,HLA-C,IL1B,CFLAR,JAK3,CTNNB1,NFE2L2,ACVR2A,HLA-DRB5,IRAK2
Sirtuin Signaling Pathway	4.62E00	8.22E-02	-0.894	TP53,CXCL8,PFKFB3,PPIF,TIMM9,GADD45G,DUSP6,DOT1L,TUBA4A,G6PD,SIRT7,NFKB2,STAT3,NFKB1,ABCA1,ATG2A,SLC25A6,NDUFB11,XPC,FOXO3,SIRT1,NAMPT,ATG16L2,NFE2L2
Inflammasome pathway	4.57E00	3E-01	-2.449	NOD2,NLRP3,IL1B,NEK7,NFKB2,NFKB1
Pancreatic Adenocarcinoma Signaling	4.54E00	1.17E-01	-1.155	TP53,AKT2,BAD,SMAD3,CDK4,STAT3,NFKB2,NFKB1,TGFBR2,PLD4,BCL2L1,CDKN1A,JAK3,NOTCH1
Th17 Activation Pathway	4.5E00	1.32E-01	-2.309	SOCS3,IL10,IL6R,IL1B,NFKB2,STAT3,IL1R1,PTGER2,NFKB1,JAK3,NFATC1,IRAK2
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	4.49E00	1.09E-01	-2.887	PTX3,CXCL8,IL1A,C3,C5AR1,NLRP3,IL10,C1QC,CCL5,NFKB2,NFKB1,NOD2,TICAM1,IL1B,PRKCB
TNFR2 Signaling	4.46E00	2.33E-01	-2.646	FOS,NFKBID,NFKB2,NFKBIB,TNFRSF1B,NFKB1,TRAF1
RAR Activation	4.4E00	9.47E-02	NaN	AKT2,IL3RA,SMAD3,RELB,CREBBP,SMARCE1,NFKB2,NFKB1,SMARCD3,FOS,TNIP1,DUSP1,RARA,PNRC1,PRKACA,REL,RXRA,PRKCB
Acute Phase Response Signaling	4.3E00	9.66E-02	-2.668	SOCS3,IL1A,AKT2,C3,IL6R,CEBPB,IL1R1,STAT3,NFKB2,NFKB1,FOS,NFKBID,IL1RN,IL1B,MAP2K3,TNFRSF1B,NFKBIB
Atherosclerosis Signaling	4.26E00	1.1E-01	NaN	PNPLA8,CXCL8,IL1A,ICAM1,PDGFA,CD36,NFKB2,NFKB1,F3,IL1RN,CSF1,IL1B,CLU,TNFSF14
IL-12 Signaling and Production in Macrophages	4.17E00	1.03E-01	NaN	AKT2,IL10,RAB7A,NFKB2,CEBPB,NFKB1,SPI1,FOS,ZNF668,MAP3K8,NFKBIB,RXRA,REL,CLU,PRKCB
Epithelial Adherens Junction Signaling	4.03E00	1E-01	NaN	TGFBR2,EPN1,AKT2,NOTCH2,ACTR3,WAS,RHOA,SNAI1,TUBA4A,ZYX,CRK,VCL,CTNNB1,NOTCH1,ACVR2A
IL-17A Signaling in Fibroblasts	4E00	2E-01	NaN	FOS,NFKBID,CEBPB,NFKB2,NFKBIZ,NFKBIB,NFKB1
G-Protein Coupled Receptor Signaling	3.95E00	7.8E-02	NaN	FYN,HCAR3,AKT2,PDE4C,GRK2,DUSP6,CREBBP,PDE4A,STAT3,NFKB2,PDE4B,NFKB1,GNAI2,NFKBID,DUSP1,PRKACA,MAP3K8,PTGER2,NFKBIB,HCAR2,ADRB2,PRKCB
Crosstalk between Dendritic Cells and Natural Killer Cells	3.91E00	1.24E-01	NaN	HLA-G,IL3RA,ICAM3,HLA-C,FSCN1,CD83,NFKB2,NFKB1,TNFRSF1B,CCR7,HLA-DRB5
JAK/Stat Signaling	3.91E00	1.24E-01	-1.508	FOS,SOCS3,BCL2L1,AKT2,CDKN1A,CISH,NFKB2,STAT3,CEBPB,NFKB1,JAK3
Induction of Apoptosis by HIV1	3.9E00	1.48E-01	-1.000	TP53,BCL2L1,NFKBID,SLC25A6,NFKB2,NFKB1,TNFRSF1B,NFKBIB,TRAF1
LXR/RXR Activation	3.89E00	1.07E-01	1.941	IL1A,C3,CD36,NFKB2,IL1R1,NFKB1,ABCA1,LDLR,IL1RN,IL1B,RXRA,TNFRSF1B,CLU
IL-1 Signaling	3.79E00	1.2E-01	-3.162	GNAI2,FOS,NFKBID,IL1A,PRKACA,MAP2K3,NFKB2,IL1R1,NFKB1,NFKBIB,IRAK2
PEDF Signaling	3.74E00	1.18E-01	-1.000	TP53,BCL2L1,NFKBID,AKT2,RHOA,NFKB2,CFLAR,NFKB1,NFKBIB,PNPLA2,TCF12
Aryl Hydrocarbon Receptor Signaling	3.74E00	9.86E-02	-1.387	TP53,IL1A,CDK4,NFKB2,NFKB1,CYP1B1,NCOA3,FOS,RARA,NFIA,CDKN1A,IL1B,RXRA,NFE2L2
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	3.74E00	8.15E-02	NaN	IL1A,AKT2,BAD,IL10,IL1R1,TNFRSF11A,NFKB1,NFATC1,FOS,NFKBID,IGF1,IL1RN,CSF1,IL1B,MAP2K3,CTNNB1,TNFRSF1B,NFKBIB,LRP1
Hepatic Cholestasis	3.72E00	9.38E-02	NaN	CXCL8,IL1A,NFKB2,IL1R1,NFKB1,NFKBID,IL1RN,RARA,PRKACA,IL1B,NFKBIB,RXRA,TNFRSF1B,PRKCB,IRAK2
CD40 Signaling	3.7E00	1.27E-01	-1.897	FOS,NFKBID,ICAM1,MAP2K3,NFKB2,STAT3,NFKB1,JAK3,NFKBIB,TRAF1
April Mediated Signaling	3.69E00	1.79E-01	-1.134	FOS,NFKBID,NFKB2,NFKBIB,NFKB1,NFATC1,TRAF1
Type I Diabetes Mellitus Signaling	3.66E00	1.08E-01	-2.333	HLA-G,SOCS3,NFKBID,HLA-C,IL1B,MAP2K3,NFKB2,IL1R1,NFKB1,TNFRSF1B,NFKBIB,HLA-DRB5
Communication between Innate and Adaptive Immune Cells	3.62E00	1.15E-01	NaN	HLA-G,CXCL8,IL1A,IL1RN,HLA-C,IL10,IL1B,CD83,CCL5,CCR7,HLA-DRB5
CD27 Signaling in Lymphocytes	3.59E00	1.51E-01	-2.449	FOS,BCL2L1,NFKBID,MAP2K3,MAP3K8,NFKB2,NFKBIB,NFKB1
Lymphotoxin β Receptor Signaling	3.58E00	1.34E-01	-1.000	BCL2L1,NFKBID,AKT2,RELB,CREBBP,NFKB2,NFKB1,TNFSF14,TRAF1
Role of Tissue Factor in Cancer	3.57E00	1E-01	NaN	TP53,BCL2L1,FYN,CXCL8,ARRB2,AKT2,CFL1,CSF1,HCK,IL1B,PLAUR,F3,FGR
B Cell Activating Factor Signaling	3.55E00	1.71E-01	-2.000	FOS,NFKBID,NFKB2,NFKBIB,NFKB1,NFATC1,TRAF1
CD28 Signaling in T Helper Cells	3.51E00	9.85E-02	-3.162	FYN,AKT2,NFKB2,MALT1,NFKB1,NFATC1,NFKBID,FOS,ACTR3,WAS,NFKBIB,HLA-DRB5,LCP2
Small Cell Lung Cancer Signaling	3.43E00	1.18E-01	-2.449	TP53,BCL2L1,NFKBID,AKT2,CDK4,NFKB2,NFKB1,NFKBIB,RXRA,TRAF1
Unfolded protein response	3.42E00	1.43E-01	NaN	INSIG1,ERN1,EDEM1,PPP1R15A,HSPA1A/HSPA1B,XBP1,CEBPB,NFE2L2
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	3.39E00	1.16E-01	NaN	TGFBR2,FOS,FYN,NFKBID,SMAD3,NFKB2,MALT1,NFKB1,NFKBIB,NFATC1
ERK5 Signaling	3.39E00	1.27E-01	-0.333	FOS,BAD,SGK1,MEF2D,CREBBP,FOXO3,YWHAZ,MAP3K8,FOSL1
p38 MAPK Signaling	3.37E00	1.01E-01	-2.111	TGFBR2,TP53,IL1A,IL1RN,DUSP1,MEF2D,CREBBP,IL1B,MAP2K3,IL1R1,TNFRSF1B,IRAK2
Leukocyte Extravasation Signaling	3.35E00	8.06E-02	-1.807	ICAM1,SPN,ARHGAP4,CRK,GNAI2,TIMP1,ICAM3,WAS,CYBA,RHOA,EZR,CD44,VCL,RASSF5,CTNNB1,VASP,PRKCB
IL-9 Signaling	3.29E00	1.56E-01	-1.633	SOCS3,CISH,BCL3,NFKB2,STAT3,NFKB1,JAK3
Chondroitin and Dermatan Biosynthesis	3.22E00	5E-01	NaN	CSGALNACT2,CHSY1,CHPF2
Inhibition of Angiogenesis by TSP1	3.19E00	1.76E-01	-2.449	TGFBR2,TP53,FYN,AKT2,THBS1,CD36
NRF2-mediated Oxidative Stress Response	3.15E00	8E-02	-1.732	CREBBP,JUNB,DNAJA1,MAFF,MAFG,FOS,DNAJC14,FOSL1,JUND,MAP2K3,DNAJB6,DNAJB1,GCLM,SQSTM1,NFE2L2,PRKCB
VDR/RXR Activation	3.08E00	1.15E-01	-0.333	PPARD,PDGFA,MXD1,CDKN1A,CCL5,CEBPB,RXRA,NCOA3,PRKCB
IL-8 Signaling	3.08E00	7.88E-02	-3.051	CXCL8,AKT2,ICAM1,NFKB1,PLD4,GNAI2,BCL2L1,FOS,ARRB2,RHOA,NFKBIB,MAP4K4,VASP,ITGAX,PRKCB,IRAK2
Th1 and Th2 Activation Pathway	3.05E00	8.11E-02	NaN	SOCS3,ICAM1,IL10,IL6R,STAT3,NFKB1,SPI1,NFATC1,TGFBR2,NOTCH2,HLA-DQA2,JAK3,NOTCH1,ACVR2A,HLA-DRB5
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	3.04E00	1.14E-01	-1.134	GNAI2,NFKBID,AKT2,CRK,NFKB2,CCL5,NFKB1,NFKBIB,PLAC8
Opioid Signaling Pathway	3.02E00	7.32E-02	-2.500	FYN,AKT2,GRK2,BAD,CREBBP,NFKB2,NFKB1,FOSB,GNAI2,FOS,ARRB2,HCK,PRKACA,CACNB2,MAP2K3,CTNNB1,FGR,PRKCB
Apoptosis Signaling	3.01E00	1.04E-01	-0.333	TP53,BCL2L1,NFKBID,BAD,NFKB2,NFKB1,TNFRSF1B,NFKBIB,MAP4K4,MCL1
Complement System	2.99E00	1.62E-01	-1.342	CD55,CR1,C3,C5AR1,C1QC,ITGAX
Th1 Pathway	2.89E00	8.89E-02	-1.000	SOCS3,NOTCH2,ICAM1,IL10,IL6R,STAT3,NFKB1,HLA-DQA2,JAK3,NOTCH1,HLA-DRB5,NFATC1
Type II Diabetes Mellitus Signaling	2.87E00	8.44E-02	-2.333	SOCS3,NFKBID,AKT2,CD36,ACSL5,CACNB2,NFKB2,CEBPB,NFKB1,TNFRSF1B,NFKBIB,ACSL1,PRKCB
Colorectal Cancer Metastasis Signaling	2.86E00	7.09E-02	-2.673	TP53,AKT2,GRK2,BAD,SMAD3,IL6R,STAT3,NFKB2,NFKB1,TGFBR2,BCL2L1,FOS,RHOA,PRKACA,PTGER2,CTNNB1,JAK3,LRP1
PI3K Signaling in B Lymphocytes	2.86E00	8.82E-02	-3.317	FOS,FYN,NFKBID,AKT2,C3,FOXO3,NFKB2,MALT1,NFKB1,NFKBIB,NFATC1,PRKCB
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	2.84E00	7.73E-02	-3.207	AKT2,CREBBP,NFKB2,NFKB1,SPI1,NFKBID,FOS,CYBA,RHOA,MAP3K8,NFKBIB,TNFRSF1B,JAK3,CLU,PRKCB
Androgen Signaling	2.83E00	8.76E-02	-1.134	GNAI2,POLR2A,SMAD3,CREBBP,PRKACA,GTF2F1,CACNB2,NFKB2,DNAJB1,NFKB1,TAF2,PRKCB
Regulation of the Epithelial-Mesenchymal Transition Pathway	2.82E00	7.69E-02	NaN	AKT2,SMAD3,SNAI1,NFKB2,STAT3,NFKB1,MAML1,TGFBR2,NOTCH2,RHOA,ZEB2,MAP2K3,JAK3,CTNNB1,NOTCH1
HMGB1 Signaling	2.78E00	8.63E-02	-2.887	FOS,CXCL8,IL1A,AKT2,ICAM1,RHOA,IL1B,MAP2K3,NFKB2,IL1R1,NFKB1,TNFRSF1B
Prostate Cancer Signaling	2.78E00	9.71E-02	NaN	TP53,NFKBID,AKT2,BAD,CDKN1A,CREBBP,NFKB2,NFKB1,CTNNB1,NFKBIB
Role of PKR in Interferon Induction and Antiviral Response	2.75E00	1.46E-01	NaN	TP53,NFKBID,MAP2K3,NFKB2,NFKB1,NFKBIB
Ephrin Receptor Signaling	2.74E00	7.82E-02	-2.887	FYN,AKT2,CFL1,PDGFA,CREBBP,CRK,STAT3,GNAI2,SDCBP,ACTR3,WAS,RHOA,DOK1,MAP4K4
Adrenomedullin signaling pathway	2.71E00	7.5E-02	-2.324	AKT2,IL1A,C3,BAD,GSK3A,NFKB2,CEBPB,NFKB1,FOS,IL1RN,PRKACA,IL1B,MAP2K3,KCNQ3,RXRA
Granulocyte Adhesion and Diapedesis	2.69E00	7.73E-02	NaN	CSF3R,CXCL8,IL1A,ICAM1,C5AR1,CCL5,IL1R1,CCL4L1/CCL4L2,GNAI2,IL1RN,EZR,IL1B,CXCL2,TNFRSF1B
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	2.64E00	1E-01	NaN	IL1A,IL1RN,CSF1,IL10,RELB,IL1B,NFKB2,NFKB1,HLA-DRB5
MIF Regulation of Innate Immunity	2.64E00	1.4E-01	-1.633	TP53,FOS,NFKBID,NFKB2,NFKB1,NFKBIB
ERK/MAPK Signaling	2.63E00	7.35E-02	-1.604	FYN,BAD,DUSP6,CREBBP,YWHAZ,CRK,STAT3,NFATC1,DUSP2,FOS,ELF2,DUSP1,ETS2,PRKACA,PRKCB
OX40 Signaling Pathway	2.61E00	9.89E-02	-0.447	HLA-G,BCL2L1,NFKBID,HLA-C,NFKB2,NFKB1,HLA-DQA2,NFKBIB,HLA-DRB5
IL-7 Signaling Pathway	2.61E00	9.89E-02	-1.134	FYN,AKT2,BAD,FOXO3,GSK3A,BCL6,JAK3,NFATC1,MCL1
GADD45 Signaling	2.57E00	2.11E-01	NaN	TP53,GADD45G,CDKN1A,CDK4
Tight Junction Signaling	2.56E00	7.78E-02	NaN	TGFBR2,FOS,AKT2,RHOA,PRKACA,CDK4,YBX3,VCL,NFKB2,TNFRSF1B,CTNNB1,NFKB1,VASP
cAMP-mediated signaling	2.56E00	7.02E-02	-1.291	HCAR3,AKAP8,GRK2,PDE4C,DUSP6,CREBBP,PDE4A,PDE4B,STAT3,GNAI2,DUSP1,CREM,PRKACA,PTGER2,HCAR2,ADRB2
Oxidized GTP and dGTP Detoxification	2.53E00	6.67E-01	NaN	DDX6,NUDT1
Hereditary Breast Cancer Signaling	2.5E00	8E-02	NaN	TP53,AKT2,POLR2A,GADD45G,CDKN1A,CREBBP,XPC,CDK4,SMARCE1,HDAC10,UBC,SMARCD3
Th2 Pathway	2.5E00	8E-02	-0.333	TGFBR2,SOCS3,NOTCH2,ICAM1,IL10,NFKB1,HLA-DQA2,JAK3,NOTCH1,SPI1,HLA-DRB5,ACVR2A
4-1BB Signaling in T Lymphocytes	2.49E00	1.56E-01	NaN	NFKBID,NFKB2,NFKB1,NFKBIB,TRAF1
Role of IL-17F in Allergic Inflammatory Airway Diseases	2.49E00	1.3E-01	-2.236	CXCL8,IGF1,CREBBP,IL1B,NFKB2,NFKB1
Role of NFAT in Regulation of the Immune Response	2.46E00	7.29E-02	-2.309	FYN,AKT2,CSNK1G2,GSK3A,NFKB2,NFKB1,NFATC1,GNAI2,NFKBID,FOS,MEF2D,NFKBIB,HLA-DRB5,LCP2
Wnt/β-catenin Signaling	2.45E00	7.56E-02	-0.632	TP53,AKT2,CSNK1G2,PPARD,CREBBP,GSK3A,TGFBR2,RARA,CD44,UBC,CTNNB1,LRP1,ACVR2A
Adipogenesis pathway	2.42E00	8.21E-02	NaN	CTBP1,TP53,DGKD,SMAD3,SIRT1,XBP1,HDAC10,CEBPB,CTNNB1,NOCT,KMT2B
Graft-versus-Host Disease Signaling	2.39E00	1.25E-01	NaN	HLA-G,IL1A,IL1RN,HLA-C,IL1B,HLA-DRB5
Acute Myeloid Leukemia Signaling	2.39E00	9.18E-02	-1.134	CSF3R,AKT2,BAD,RARA,MAP2K3,NFKB2,STAT3,NFKB1,SPI1
Ceramide Signaling	2.36E00	9.09E-02	-2.333	S1PR4,FOS,AKT2,BAD,SPHK1,NFKB2,CERK,NFKB1,TNFRSF1B
TWEAK Signaling	2.32E00	1.43E-01	0.447	NFKBID,NFKB2,NFKB1,NFKBIB,TRAF1
Non-Small Cell Lung Cancer Signaling	2.31E00	9.64E-02	0.447	TP53,AKT2,BAD,FOXO3,CDK4,RASSF5,RXRA,RASSF1
RANK Signaling in Osteoclasts	2.28E00	8.82E-02	-2.646	FOS,NFKBID,AKT2,MAP3K8,NFKB2,NFKB1,NFKBIB,TNFRSF11A,NFATC1
Angiopoietin Signaling	2.27E00	9.52E-02	0.000	NFKBID,AKT2,TNIP1,BAD,CRK,NFKB2,NFKBIB,NFKB1
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	2.25E00	1.74E-01	NaN	IL1A,IL10,IL1B,CCL5
STAT3 Pathway	2.25E00	8.74E-02	-1.414	TGFBR2,SOCS3,IL1A,IGF1,CDKN1A,CISH,IL1B,STAT3,TNFRSF11A
Docosahexaenoic Acid (DHA) Signaling	2.22E00	1.15E-01	NaN	BCL2L1,AKT2,BAD,IL1B,GSK3A,PNPLA2
iCOS-iCOSL Signaling in T Helper Cells	2.22E00	8.13E-02	-2.828	GAB2,NFKBID,AKT2,BAD,NFKB2,NFKB1,NFKBIB,LCP2,HLA-DRB5,NFATC1
Role of IL-17A in Arthritis	2.2E00	1.01E-01	NaN	NFKBID,CXCL8,MAP2K3,CCL5,NFKB2,NFKBIB,NFKB1
PTEN Signaling	2.2E00	8.06E-02	1.265	TGFBR2,BCL2L1,AKT2,BAD,CDKN1A,FOXO3,GSK3A,NFKB2,NFKB1,TNFRSF11A
Erythropoietin Signaling	2.18E00	9.2E-02	NaN	SOCS3,FOS,NFKBID,AKT2,NFKB2,NFKBIB,NFKB1,PRKCB
PKCθ Signaling in T Lymphocytes	2.17E00	7.27E-02	-3.317	FOS,FYN,NFKBID,MAP3K8,CACNB2,NFKB2,MALT1,NFKB1,NFKBIB,LCP2,HLA-DRB5,NFATC1
Cholecystokinin/Gastrin-mediated Signaling	2.14E00	8.41E-02	-2.333	FOS,IL1A,IL1RN,MEF2D,RHOA,CREM,IL1B,MAP2K3,PRKCB
Role of Cytokines in Mediating Communication between Immune Cells	2.14E00	1.11E-01	NaN	CXCL8,IL1A,IL1RN,IL10,IL32,IL1B
IL-17A Signaling in Gastric Cells	2.12E00	1.6E-01	NaN	FOS,CXCL8,CCL5,NFKB1
Tec Kinase Signaling	2.07E00	7.06E-02	-3.317	GNAI2,FOS,FYN,WAS,RHOA,HCK,NFKB2,STAT3,NFKB1,JAK3,FGR,PRKCB
T Helper Cell Differentiation	2.07E00	9.59E-02	NaN	TGFBR2,IL10,IL6R,STAT3,BCL6,TNFRSF1B,HLA-DRB5
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	2.06E00	1.54E-01	-1.000	LPCAT1,CRLS1,GPAT3,PGS1
p53 Signaling	2.04E00	8.11E-02	0.378	TP53,BCL2L1,AKT2,THBS1,GADD45G,CDKN1A,SIRT1,CDK4,CTNNB1
IGF-1 Signaling	2.04E00	8.11E-02	-1.134	FOS,SOCS3,AKT2,IGF1,BAD,FOXO3,PRKACA,YWHAZ,STAT3
AMPK Signaling	2.02E00	6.48E-02	-1.897	PFKFB3,AKT2,EEF2,CREBBP,SMARCE1,RAB7A,SMARCD3,SIRT1,FOXO3,CDKN1A,PRKACA,MAP2K3,AKT1S1,ADRB2
ILK Signaling	1.97E00	6.6E-02	-2.111	AKT2,CFL1,CREBBP,SNAI1,VIM,GSK3A,NFKB2,NFKB1,FOS,FLNA,RHOA,VCL,CTNNB1
Dermatan Sulfate Biosynthesis	1.96E00	1.02E-01	-1.633	CSGALNACT2,CHST7,XYLT1,CHSY1,DSE,CHPF2
T Cell Receptor Signaling	1.95E00	7.83E-02	NaN	FOS,FYN,SHB,PTPN7,NFKB2,MALT1,NFKB1,LCP2,NFATC1
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza	1.94E00	1.16E-01	NaN	CXCL8,IL1A,IL1RN,IL1B,CCL5
PDGF Signaling	1.94E00	8.33E-02	-2.828	FOS,ABL2,PDGFA,SPHK1,CRK,STAT3,JAK3,PRKCB
Sumoylation Pathway	1.94E00	8.33E-02	1.414	TP53,CTBP1,FOS,RHOA,CREBBP,SIRT1,NFKB2,NFKB1
Endocannabinoid Cancer Inhibition Pathway	1.92E00	7.01E-02	0.905	GNAI2,AKT2,BAD,RHOA,CDKN1A,CREBBP,PRKACA,VIM,MAP2K3,CTNNB1,AKT1S1
IL-17A Signaling in Airway Cells	1.92E00	8.97E-02	-1.134	NFKBID,AKT2,NFKB2,STAT3,NFKB1,JAK3,NFKBIB
LPS/IL-1 Mediated Inhibition of RXR Function	1.9E00	6.28E-02	0.378	IL1A,CHST7,IL1R1,ABCA1,PAPSS2,SMOX,IL1RN,RARA,ACSL5,IL1B,TNFRSF1B,RXRA,ACOX3,ACSL1
Iron homeostasis signaling pathway	1.9E00	7.3E-02	NaN	ATP6V0C,ATP6V1C1,PDGFA,SMAD3,TCIRG1,ATP6V0D1,IL6R,STAT3,JAK3,LRP1
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.9E00	1.14E-01	NaN	NFKBID,CREBBP,NFKB2,NFKB1,NFKBIB
Relaxin Signaling	1.9E00	6.96E-02	-1.134	GNAI2,FOS,NFKBID,AKT2,PDE4C,PDE4A,PRKACA,NFKB2,PDE4B,NFKB1,NFKBIB
Corticotropin Releasing Hormone Signaling	1.86E00	7.19E-02	-1.265	GNAI2,FOS,MEF2D,CREBBP,NR4A1,PRKACA,JUND,CACNB2,PTCH2,PRKCB
Sonic Hedgehog Signaling	1.84E00	1.33E-01	NaN	ARRB2,GRK2,PRKACA,PTCH2
