© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Autoimmune Thyroid Disease Signaling	4.37E00	2.24E-01	NaN	HLA-DOA,HLA-DRB1,CD80,CD40,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DQA1,FCER1G,HLA-DQB1,HLA-F
B Cell Development	4.06E00	2.5E-01	NaN	HLA-DOA,HLA-DRB1,CD80,CD40,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DQA1,HLA-DQB1
T Helper Cell Differentiation	3.94E00	1.78E-01	NaN	IL18,HLA-DOA,HLA-DRB1,CD40,CD80,HLA-DMA,HLA-DMB,HLA-DRA,FCER1G,HLA-DQA1,IL2RA,HLA-DQB1,STAT1
Allograft Rejection Signaling	3.76E00	1.63E-01	NaN	B2M,HLA-DOA,HLA-DRB1,HLA-DQB2,CD40,CD80,HLA-DMA,HLA-DRA,HLA-DMB,FCER1G,HLA-DQA1,HLA-DQB1,HLA-F,HLA-DPB1
Glutathione Redox Reactions I	3.73E00	2.92E-01	-1.890	GSTM1,CLIC2,MGST2,GPX1,GSTP1,MGST3,GSTK1
Glutathione-mediated Detoxification	3.67E00	2.5E-01	-2.121	GSTM1,MGST2,GSTM4,HPGDS,GSTP1,GSTO1,MGST3,GSTK1
NRF2-mediated Oxidative Stress Response	3.35E00	1.15E-01	-3.162	GSTM1,UBB,DNAJC9,PRDX1,PPIB,DNAJC19,DNAJC15,DNAJB14,CLPP,GSTO1,AKR1A1,FTL,ERP29,MGST2,RBX1,GSTM4,TXN,FKBP5,HACD3,CBR1,GSTP1,MGST3,GSTK1
Phenylalanine Degradation I (Aerobic)	3.23E00	7.5E-01	NaN	PCBD2,PCBD1,QDPR
Nur77 Signaling in T Lymphocytes	2.98E00	1.69E-01	NaN	CALM1 (includes others),HLA-DOA,HLA-DRB1,CD80,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DQA1,FCER1G,HLA-DQB1
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	2.98E00	2.61E-01	-2.449	DUT,NME1,NME4,NME2,DTYMK,RRM1
Assembly of RNA Polymerase II Complex	2.93E00	1.8E-01	NaN	TAF12,POLR2G,GTF2A2,POLR2F,POLR2J,GTF2H5,POLR2K,MNAT1,POLR2L
Phagosome Maturation	2.62E00	1.15E-01	NaN	B2M,ATP6V0B,VPS41,PRDX1,DYNLT1,TAP1,DYNLRB1,ATP6V1E1,DYNLL1,HLA-DRB1,ATP6V1F,HLA-DRA,LAMP1,RILP,CTSC,GOSR2,ATP6V0E1
Iron homeostasis signaling pathway	2.57E00	1.17E-01	NaN	ATP6V0B,SLC46A1,SMAD5,HMOX2,ATP6V1E1,FTL,ATP6V1F,SLC48A1,MMS19,NUBP2,SLC40A1,ISCU,ACO1,CIAO2B,ATP6V0E1,STEAP3
Formaldehyde Oxidation II (Glutathione-dependent)	2.55E00	1E00	NaN	ADH5,ESD
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	2.53E00	1.33E-01	NaN	IL18,HLA-DOA,HLA-DRB1,CD80,CD40,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DQA1,FCER1G,HLA-DQB1,TNFSF13B
OX40 Signaling Pathway	2.49E00	1.32E-01	NaN	B2M,HLA-DOA,HLA-DRB1,HLA-DQB2,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DQA1,FCER1G,HLA-DQB1,HLA-F,HLA-DPB1
Cdc42 Signaling	2.44E00	1.08E-01	-1.890	B2M,HLA-DOA,MPRIP,MYL6,ARPC5L,HLA-DQA1,HLA-DQB1,HLA-DRB1,HLA-DQB2,HLA-DMA,HLA-DMB,HLA-DRA,FCER1G,ARPC3,HLA-F,HLA-DPB1,MYL12B,MYL12A
RhoA Signaling	2.19E00	1.13E-01	-2.887	SEPT8,PLXNA1,MPRIP,PFN1,NRP2,MYL6,ARPC5L,SEPT11,RND3,SEPT10,ARPC3,MYL12B,KTN1,MYL12A
Calcium-induced T Lymphocyte Apoptosis	2.09E00	1.36E-01	-2.828	CALM1 (includes others),HLA-DOA,HLA-DRB1,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DQA1,FCER1G,HLA-DQB1
Tyrosine Biosynthesis IV	2.08E00	6.67E-01	NaN	PCBD2,PCBD1
Aryl Hydrocarbon Receptor Signaling	2.05E00	1.06E-01	-0.447	GSTM1,BAX,CCND1,GSTO1,TGM2,ALDH1A1,MGST2,ALDH3A2,NEDD8,GSTM4,DHFR,GSTP1,MGST3,HSPB1,GSTK1
Leucine Degradation I	2E00	3.33E-01	NaN	BCAT1,HMGCL,ACADM
LXR/RXR Activation	1.9E00	1.07E-01	0.302	APOE,ECHS1,MSR1,NR1H3,A1BG,APOL1,LY96,IL18,CCL2,APOC1,CD14,CCL7,RBP4
Th1 Pathway	1.88E00	1.04E-01	-3.464	IL18,HLA-DOA,HLA-DRB1,HLA-DQB2,CD40,CD80,PSENEN,HLA-DMA,HLA-DRA,HLA-DMB,HLA-DQA1,HLA-DQB1,STAT1,HLA-DPB1
iCOS-iCOSL Signaling in T Helper Cells	1.84E00	1.06E-01	-3.464	CALM1 (includes others),HLA-DOA,HLA-DRB1,CD80,CD40,HLA-DMA,HLA-DMB,HLA-DRA,FCER1G,HLA-DQA1,RAC1,IL2RA,HLA-DQB1
Arsenate Detoxification I (Glutaredoxin)	1.8E00	5E-01	NaN	GLRX2,GSTO1
Heme Degradation	1.8E00	5E-01	NaN	BLVRA,HMOX2
PRPP Biosynthesis I	1.8E00	5E-01	NaN	PRPS2,PRPS1
Ascorbate Recycling (Cytosolic)	1.8E00	5E-01	NaN	GLRX,GSTO1
Glutathione Redox Reactions II	1.8E00	5E-01	NaN	TXNDC12,GLRX
LPS/IL-1 Mediated Inhibition of RXR Function	1.78E00	8.97E-02	0.447	APOE,GSTM1,MGMT,NR1H3,GSTO1,LY96,IL18,ALDH1A1,MGST2,ALDH3A2,GSTM4,APOC1,CD14,PPARGC1B,FABP5,ABCC3,GSTP1,MGST3,GSTK1,MAOA
Atherosclerosis Signaling	1.74E00	1.02E-01	NaN	APOL1,PLA2G16,APOE,IL18,ALOX15B,CCL2,CD40,MSR1,APOC1,RARRES3,PDGFC,PLA2G7,RBP4
Noradrenaline and Adrenaline Degradation	1.73E00	1.5E-01	-1.633	HSD17B10,ADH5,AKR1A1,ALDH1A1,ALDH3A2,MAOA
Granzyme A Signaling	1.71E00	2E-01	NaN	NME1,HIST1H1E,HMGB2,APEX1
Crosstalk between Dendritic Cells and Natural Killer Cells	1.7E00	1.12E-01	NaN	IL18,IL15RA,HLA-DRB1,CD80,CD40,TYROBP,TREM2,HLA-DRA,TNFSF10,HLA-F
Regulation of Actin-based Motility by Rho	1.67E00	1.11E-01	-1.897	PFN1,MPRIP,MYL6,RND3,ARPC5L,RAC1,ARPC3,RHOH,MYL12B,MYL12A
CD28 Signaling in T Helper Cells	1.61E00	9.85E-02	-2.236	CALM1 (includes others),HLA-DOA,HLA-DRB1,CD80,HLA-DMA,ARPC5L,HLA-DMB,HLA-DRA,FCER1G,HLA-DQA1,RAC1,ARPC3,HLA-DQB1
dTMP De Novo Biosynthesis	1.59E00	4E-01	NaN	DHFR,SHMT2
Pyrimidine Ribonucleotides Interconversion	1.55E00	1.36E-01	-2.449	NUDT5,NME1,NME4,NUDT16,NME2,RECQL
Communication between Innate and Adaptive Immune Cells	1.49E00	1.04E-01	NaN	CXCL10,B2M,IL18,HLA-DRB1,CD80,CD40,HLA-DRA,FCER1G,HLA-F,TNFSF13B
Dendritic Cell Maturation	1.49E00	8.72E-02	-4.000	B2M,HLA-DOA,TYROBP,HLA-DQA1,HLA-DQB1,FCGR1A,IL18,HLA-DRB1,CD80,CD40,HLA-DMA,TREM2,HLA-DRA,HLA-DMB,FCER1G,STAT1,FCGR1B
Pyrimidine Ribonucleotides De Novo Biosynthesis	1.46E00	1.3E-01	-2.449	NUDT5,NME1,NME4,NUDT16,NME2,RECQL
Type I Diabetes Mellitus Signaling	1.46E00	9.91E-02	NaN	HLA-DOA,HLA-DRB1,CD80,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DQA1,FCER1G,HLA-DQB1,STAT1,HLA-F
DNA Double-Strand Break Repair by Non-Homologous End Joining	1.45E00	2.14E-01	NaN	RAD50,XRCC5,XRCC4
Isoleucine Degradation I	1.45E00	2.14E-01	NaN	HSD17B10,BCAT1,ECHS1
Androgen Biosynthesis	1.45E00	2.14E-01	NaN	EBP,SRD5A3,HSD3B7
Phenylalanine Degradation IV (Mammalian, via Side Chain)	1.45E00	2.14E-01	NaN	ALDH3A2,GOT1,MAOA
Colanic Acid Building Blocks Biosynthesis	1.45E00	2.14E-01	NaN	TSTA3,GMPPB,UGP2
TCA Cycle II (Eukaryotic)	1.44E00	1.67E-01	-2.000	SDHB,SUCLG1,ACO1,MDH1
Tryptophan Degradation X (Mammalian, via Tryptamine)	1.38E00	1.6E-01	-1.000	AKR1A1,ALDH1A1,ALDH3A2,MAOA
Tryptophan Degradation III (Eukaryotic)	1.38E00	1.6E-01	-1.000	HSD17B10,PARK7,HAAO,IDO1
Ethanol Degradation II	1.34E00	1.35E-01	-2.236	HSD17B10,ADH5,AKR1A1,ALDH1A1,ALDH3A2
Huntington's Disease Signaling	1.33E00	8E-02	0.378	ATP5PF,UBB,SDHB,ATP5MC1,POLR2F,POLR2J,PSME2,POLR2K,BAX,ATP5F1E,UBD,TGM2,POLR2G,ATP5F1C,PSME1,GNG5,GOSR2,POLR2L,GNG12,CASP7
Activation of IRF by Cytosolic Pattern Recognition Receptors	1.3E00	1.11E-01	-1.890	IFIH1,CD40,PPIB,DDX58,IFIT2,STAT1,ISG15
Superpathway of Serine and Glycine Biosynthesis I	1.3E00	2.86E-01	NaN	PSPH,SHMT2
Aspartate Degradation II	1.3E00	2.86E-01	NaN	GOT1,MDH1
Vitamin-C Transport	1.3E00	1.88E-01	NaN	TXN,GLRX,GSTO1
Agranulocyte Adhesion and Diapedesis	1.27E00	8.29E-02	NaN	FN1,MYL6,CKLF,ITGA6,CCL20,SDC4,CLDN7,CXCL9,ITGB7,CXCL10,IL18,CCL13,CCL2,CXCL1,CCL18,CCL7
Th2 Pathway	1.23E00	8.67E-02	NaN	HLA-DOA,HLA-DRB1,HLA-DQB2,CD40,CD80,PSENEN,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DQA1,IL2RA,HLA-DQB1,HLA-DPB1
Granulocyte Adhesion and Diapedesis	1.21E00	8.29E-02	NaN	FPR3,ITGA6,CKLF,CCL20,SDC4,CLDN7,CXCL9,CXCL10,IL18,CCL13,CCL2,CXCL1,CCL18,HSPB1,CCL7
EIF2 Signaling	1.21E00	7.93E-02	-3.317	RPS19,RPL36AL,RPS27,EIF5B,CCND1,RPS29,EIF2S2,RPL35,RPL26L1,RPS27L,CDK11A,RPL21,EIF2AK2,RPS17,RPL31,RPL41,RPLP0,EIF3K
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	1.19E00	2.5E-01	NaN	HAAO,IDO1
Eicosanoid Signaling	1.18E00	1.04E-01	0.000	PLA2G16,ALOX15B,PTGS1,ALOX5AP,RARRES3,HPGDS,PLA2G7
Th1 and Th2 Activation Pathway	1.15E00	8.11E-02	NaN	IL18,HLA-DOA,HLA-DRB1,HLA-DQB2,CD40,CD80,PSENEN,HLA-DMA,HLA-DRA,HLA-DMB,HLA-DQA1,IL2RA,HLA-DQB1,STAT1,HLA-DPB1
Cell Cycle Control of Chromosomal Replication	1.11E00	1.07E-01	NaN	MCM3,RPA3,PCNA,CDK11A,RPA1,MCM4
Pathogenesis of Multiple Sclerosis	1.1E00	2.22E-01	NaN	CXCL10,CXCL9
Prostanoid Biosynthesis	1.1E00	2.22E-01	NaN	PTGS1,HPGDS
Heme Biosynthesis II	1.1E00	2.22E-01	NaN	UROD,UROS
3-phosphoinositide Degradation	1.09E00	8.23E-02	-3.606	NUDT5,TNS3,PPP1R8,PPP1R7,NUDT16,PTPMT1,DUSP23,NT5C,NUDT2,PTPRM,THTPA,SIRPA,SACM1L
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.07E00	8.33E-02	-3.464	NUDT5,TNS3,PPP1R8,PPP1R7,NUDT16,DUSP23,NT5C,NUDT2,PTPRM,THTPA,SIRPA,SACM1L
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.07E00	8.33E-02	-3.464	NUDT5,TNS3,PPP1R8,PPP1R7,NUDT16,DUSP23,NT5C,NUDT2,PTPRM,THTPA,SIRPA,SACM1L
Role of NFAT in Regulation of the Immune Response	1.04E00	7.81E-02	-3.606	BLNK,HLA-DOA,HLA-DQA1,HLA-DQB1,FCGR1A,CALM1 (includes others),HLA-DRB1,CD80,HLA-DMA,HLA-DRA,HLA-DMB,FCER1G,GNG5,FCGR1B,GNG12
Ketogenesis	1.02E00	2E-01	NaN	BDH2,HMGCL
Mineralocorticoid Biosynthesis	1.02E00	2E-01	NaN	EBP,HSD3B7
Adenine and Adenosine Salvage I	9.83E-01	5E-01	NaN	APRT
GDP-L-fucose Biosynthesis I (from GDP-D-mannose)	9.83E-01	5E-01	NaN	TSTA3
Cardiolipin Biosynthesis II	9.83E-01	5E-01	NaN	PTPMT1
Glycine Biosynthesis I	9.83E-01	5E-01	NaN	SHMT2
TREM1 Signaling	9.79E-01	9.33E-02	-1.890	NLRC5,TREM1,IL18,CCL2,CD40,TYROBP,CCL7
Dolichyl-diphosphooligosaccharide Biosynthesis	9.43E-01	1.82E-01	NaN	ALG5,DPM2
Glucocorticoid Biosynthesis	9.43E-01	1.82E-01	NaN	EBP,HSD3B7
Androgen Signaling	9.36E-01	8.03E-02	NaN	POLR2G,CALM1 (includes others),POLR2F,POLR2J,GTF2H5,POLR2K,GNG5,MNAT1,CCND1,POLR2L,GNG12
Putrescine Degradation III	9.14E-01	1.3E-01	NaN	ALDH1A1,ALDH3A2,MAOA
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	8.96E-01	1E-01	0.000	YWHAH,YWHAB,PTPMT1,CKS1B,HIPK2
Guanosine Nucleotides Degradation III	8.79E-01	1.67E-01	NaN	NT5C3B,NT5C
BER pathway	8.79E-01	1.67E-01	NaN	PCNA,APEX1
Complement System	8.76E-01	1.08E-01	0.000	SERPING1,C1QA,CFH,C2
Apelin Adipocyte Signaling Pathway	8.7E-01	8.75E-02	-1.890	GSTM1,CLIC2,MGST2,GPX1,GSTP1,MGST3,GSTK1
FXR/RXR Activation	8.66E-01	7.94E-02	NaN	APOL1,APOE,IL18,CYP27A1,CYP19A1,APOC1,NR1H3,FBP1,A1BG,RBP4
IL-17A Signaling in Gastric Cells	8.36E-01	1.2E-01	NaN	CXCL10,CCL20,CXCL1
Role of IL-17A in Psoriasis	8.21E-01	1.54E-01	NaN	CCL20,CXCL1
Leukotriene Biosynthesis	8.21E-01	1.54E-01	NaN	MGST2,MGST3
Urate Biosynthesis/Inosine 5'-phosphate Degradation	8.21E-01	1.54E-01	NaN	NT5C3B,NT5C
Glycogen Degradation II	8.21E-01	1.54E-01	NaN	PGM1,TYMP
Bile Acid Biosynthesis, Neutral Pathway	8.21E-01	1.54E-01	NaN	CYP27A1,HSD3B7
Methylglyoxal Degradation I	8.18E-01	3.33E-01	NaN	GLO1
Tetrahydrobiopterin Biosynthesis I	8.18E-01	3.33E-01	NaN	SPR
L-cysteine Degradation III	8.18E-01	3.33E-01	NaN	GOT1
D-glucuronate Degradation I	8.18E-01	3.33E-01	NaN	AKR1A1
Tetrahydrobiopterin Biosynthesis II	8.18E-01	3.33E-01	NaN	SPR
Glutamate Degradation II	8.18E-01	3.33E-01	NaN	GOT1
Aspartate Biosynthesis	8.18E-01	3.33E-01	NaN	GOT1
D-myo-inositol-5-phosphate Metabolism	8.01E-01	7.41E-02	-3.464	NUDT5,TNS3,PPP1R8,PPP1R7,NUDT16,DUSP23,NT5C,NUDT2,PTPRM,THTPA,SIRPA,SACM1L
NAD Salvage Pathway II	7.99E-01	1.15E-01	NaN	NT5C3B,ACP2,NT5C
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	7.99E-01	1.15E-01	NaN	AGPAT5,LPCAT2,PTPMT1
DNA Double-Strand Break Repair by Homologous Recombination	7.7E-01	1.43E-01	NaN	RPA1,RAD50
tRNA Splicing	7.33E-01	9.52E-02	-2.000	GDE1,APEX1,PDE6B,PDE6D
Telomere Extension by Telomerase	7.24E-01	1.33E-01	NaN	RAD50,XRCC5
NAD biosynthesis II (from tryptophan)	7.24E-01	1.33E-01	NaN	HAAO,IDO1
Glycogen Degradation III	7.24E-01	1.33E-01	NaN	PGM1,TYMP
Serotonin Receptor Signaling	7.08E-01	9.3E-02	NaN	SPR,PCBD1,QDPR,MAOA
Retinoate Biosynthesis II	7.06E-01	2.5E-01	NaN	RBP1
Heme Biosynthesis from Uroporphyrinogen-III I	7.06E-01	2.5E-01	NaN	UROD
Phenylethylamine Degradation I	7.06E-01	2.5E-01	NaN	ALDH3A2
Melatonin Degradation II	7.06E-01	2.5E-01	NaN	MAOA
L-cysteine Degradation I	7.06E-01	2.5E-01	NaN	GOT1
Molybdenum Cofactor Biosynthesis	7.06E-01	2.5E-01	NaN	MOCS2
Mismatch Repair in Eukaryotes	6.8E-01	1.25E-01	NaN	PCNA,RPA1
Glutaryl-CoA Degradation	6.8E-01	1.25E-01	NaN	HSD17B10,PARK7
Adenosine Nucleotides Degradation II	6.8E-01	1.25E-01	NaN	NT5C3B,NT5C
Clathrin-mediated Endocytosis Signaling	6.62E-01	6.76E-02	NaN	APOE,UBB,ARPC5L,RAC1,VEGFB,PDGFC,ITGB7,APOL1,UBD,APOC1,DAB2,RAB11A,ARPC3,RBP4
iNOS Signaling	6.62E-01	8.89E-02	NaN	CALM1 (includes others),LY96,CD14,STAT1
Toll-like Receptor Signaling	6.58E-01	7.89E-02	-2.000	UBD,IL18,LY96,UBB,CD14,EIF2AK2
Neuroinflammation Signaling Pathway	6.46E-01	6.43E-02	-3.300	B2M,HLA-DOA,PSENEN,TYROBP,SLC1A3,HLA-DQA1,HLA-DQB1,HMGB1,CXCL10,IL18,HLA-DRB1,CD40,CCL2,CD80,HLA-DMA,TREM2,S100B,HLA-DRA,HLA-DMB,STAT1
Serotonin Degradation	6.42E-01	7.79E-02	-1.633	HSD17B10,ADH5,AKR1A1,ALDH1A1,ALDH3A2,MAOA
Death Receptor Signaling	6.42E-01	7.53E-02	-1.890	TNFRSF21,TNFSF10,PARP12,CASP7,ARHGDIB,PARP14,HSPB1
Role of IL-17F in Allergic Inflammatory Airway Diseases	6.38E-01	8.7E-02	NaN	CXCL10,CCL2,CXCL1,CCL7
Actin Nucleation by ARP-WASP Complex	6.27E-01	8.06E-02	-1.342	RND3,ARPC5L,RAC1,ARPC3,RHOH
IL-4 Signaling	6.27E-01	7.45E-02	NaN	HLA-DOA,HLA-DRB1,HLA-DMA,HLA-DMB,HLA-DRA,HLA-DQA1,HLA-DQB1
autophagy	6.27E-01	8.06E-02	NaN	STX17,ATG12,VPS41,LAMP1,CTSC
Role of MAPK Signaling in the Pathogenesis of Influenza	6.25E-01	7.69E-02	NaN	CXCL10,PLA2G16,CCL2,RARRES3,BAX,PLA2G7
Serine Biosynthesis	6.2E-01	2E-01	NaN	PSPH
Tetrapyrrole Biosynthesis II	6.2E-01	2E-01	NaN	UROS
Eumelanin Biosynthesis	6.2E-01	2E-01	NaN	DDT
Tyrosine Degradation I	6.2E-01	2E-01	NaN	FAH
Folate Polyglutamylation	6.2E-01	2E-01	NaN	SHMT2
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	6.14E-01	9.38E-02	NaN	B2M,FCER1G,CASP7
Fatty Acid β-oxidation I	6.14E-01	9.38E-02	NaN	HSD17B10,ECHS1,ACADM
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	6.04E-01	1.11E-01	NaN	CCL2,CXCL1
Valine Degradation I	6.04E-01	1.11E-01	NaN	BCAT1,ECHS1
PKCθ Signaling in T Lymphocytes	5.73E-01	6.67E-02	-3.317	HLA-DOA,HLA-DRB1,CD80,HLA-DMA,MAP3K13,HLA-DMB,HLA-DRA,HLA-DQA1,FCER1G,RAC1,HLA-DQB1
GADD45 Signaling	5.69E-01	1.05E-01	NaN	PCNA,CCND1
Purine Nucleotides Degradation II (Aerobic)	5.69E-01	1.05E-01	NaN	NT5C3B,NT5C
Methylglyoxal Degradation III	5.69E-01	1.05E-01	NaN	AKR1A1,AKR1B1
Histamine Degradation	5.69E-01	1.05E-01	NaN	ALDH1A1,ALDH3A2
Mitotic Roles of Polo-Like Kinase	5.59E-01	7.58E-02	-1.000	PTTG1,ANAPC10,CDC23,ANAPC11,SMC1A
3-phosphoinositide Biosynthesis	5.56E-01	6.47E-02	-3.606	NUDT5,TNS3,CD80,PPP1R8,PPP1R7,NUDT16,DUSP23,NT5C,NUDT2,PTPRM,THTPA,SIRPA,SACM1L
Hereditary Breast Cancer Signaling	5.51E-01	6.67E-02	NaN	UBD,POLR2G,UBB,POLR2F,POLR2J,RPA1,POLR2K,CCND1,POLR2L,RAD50
Pyruvate Fermentation to Lactate	5.51E-01	1.67E-01	NaN	LDHB
Glycogen Biosynthesis II (from UDP-D-Glucose)	5.51E-01	1.67E-01	NaN	UGP2
GDP-mannose Biosynthesis	5.51E-01	1.67E-01	NaN	GMPPB
IL-8 Signaling	5.38E-01	6.4E-02	-2.309	RND3,RAC1,VEGFB,CXCL1,BAX,GNG5,RHOH,PDGFC,CCND1,MYL12B,CSTB,GNG12,EIF4EBP1
Inflammasome pathway	5.38E-01	1E-01	NaN	IL18,AIM2
Hepatic Fibrosis / Hepatic Stellate Cell Activation	5.26E-01	6.42E-02	NaN	COL8A2,LY96,FN1,MYL6,CCL2,CD40,CD14,VEGFB,BAX,CXCL9,STAT1,PDGFC
Oxidative Ethanol Degradation III	5.09E-01	9.52E-02	NaN	ALDH1A1,ALDH3A2
Semaphorin Signaling in Neurons	5.03E-01	7.55E-02	NaN	PLXNA1,RND3,RAC1,RHOH
Dopamine Degradation	5E-01	8.11E-02	NaN	ALDH1A1,ALDH3A2,MAOA
Thioredoxin Pathway	4.96E-01	1.43E-01	NaN	TXN
Glycoaminoglycan-protein Linkage Region Biosynthesis	4.96E-01	1.43E-01	NaN	B4GALT7
Polyamine Regulation in Colon Cancer	4.81E-01	9.09E-02	NaN	PSME1,PSME2
Fatty Acid α-oxidation	4.81E-01	9.09E-02	NaN	ALDH1A1,ALDH3A2
Superpathway of Methionine Degradation	4.8E-01	7.89E-02	NaN	MGMT,GOT1,NSUN4
PAK Signaling	4.61E-01	6.54E-02	-1.633	ARHGAP10,MYL6,PAK1IP1,RAC1,PDGFC,MYL12B,MYL12A
RhoGDI Signaling	4.61E-01	6.21E-02	1.667	MYL6,RND3,ARPC5L,RAC1,ARPC3,GNG5,RHOH,MYL12B,GNG12,ARHGDIB,MYL12A
tRNA Charging	4.61E-01	7.69E-02	NaN	LARS,TARS,EPRS
