© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
PAK Signaling	1.5E00	1.5E-01	-2.840	RAP2B,ITGB1,RAP2A,ARHGAP10,MYL6,PAK1IP1,FGFR1,PIK3R1,SOS2,WASL,RAC1,MYL6B,PDGFC,PIK3R3,MRAS,PIK3R6
Actin Cytoskeleton Signaling	1.5E00	1.29E-01	-3.272	RAP2B,RAP2A,FN1,MYL6,PIK3R1,WASL,SOS2,MYL6B,IQGAP1,PDGFC,BAIAP2,MRAS,TMSB10/TMSB4X,GNG12,ITGB1,TIAM1,ARHGEF12,ARPC5L,FGFR1,RAC1,RDX,GSN,PIK3R3,DOCK1,CYFIP1,VAV3,PIK3R6,ARHGAP35,CD14,PIP4K2C
DNA Double-Strand Break Repair by Homologous Recombination	1.49E00	2.86E-01	NaN	ABL1,BRCA2,RPA1,RAD50
Androgen Biosynthesis	1.49E00	2.86E-01	-1.000	EBP,SRD5A3,HSD3B7,HSD17B14
Virus Entry via Endocytic Pathways	1.49E00	1.47E-01	NaN	RAP2B,ITGB1,RAP2A,FLNB,ITSN1,PIK3R1,FGFR1,RAC1,ABL1,ITGA6,PIK3R3,CLTA,PIK3R6,MRAS,PRKCH,CXADR,ITGB5
Adipogenesis pathway	1.48E00	1.42E-01	NaN	PPARG,SAP18,DDIT3,TXNIP,FGFR1,HDAC1,RBBP7,CEBPD,HIF1A,FZD1,BSCL2,RBP1,EGR2,FOXO1,HDAC7,CEBPA,GTF2H5,GTF2H3,WNT5A
Assembly of RNA Polymerase II Complex	1.47E00	1.8E-01	NaN	TAF12,POLR2G,POLR2I,POLR2F,TAF6L,GTF2H5,POLR2K,GTF2A1,GTF2H3
IL-7 Signaling Pathway	1.47E00	1.54E-01	-0.577	SLC2A1,BAD,FGFR1,PIK3R1,SOS2,MAPK13,CCND1,PIK3R3,IL7R,JUN,FOXO1,HGF,FOXO3,PIK3R6
TREM1 Signaling	1.44E00	1.6E-01	-2.309	SIGIRR,ITGB1,CXCL3,IL18,TREM1,TLR5,CCL2,TYROBP,IL10,TLR6,FCGR2B,CCL7
ErbB2-ErbB3 Signaling	1.44E00	1.6E-01	-2.111	PIK3R3,RAP2B,RAP2A,JUN,FOXO1,BAD,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,CCND1
Eicosanoid Signaling	1.43E00	1.64E-01	0.000	PLA2G16,ALOX15B,LTC4S,PLA2G4C,PTGS1,ALOX5AP,HPGDS,GGT1,TBXAS1,DPEP2,PLA2G12A
PPAR Signaling	1.42E00	1.49E-01	0.775	RAP2B,PPARA,PPARG,RAP2A,SOS2,NR1H3,PDGFC,IL1R2,IL18,JUN,MRAS,NRIP1,IL1RAP,CITED2,SCAND1
Prostanoid Biosynthesis	1.39E00	3.33E-01	NaN	PTGS1,HPGDS,TBXAS1
Leucine Degradation I	1.39E00	3.33E-01	NaN	BCAT1,BCAT2,HMGCL
Heme Biosynthesis II	1.39E00	3.33E-01	NaN	UROD,FECH,ALAD
Glioma Signaling	1.37E00	1.42E-01	-2.887	RAP2B,RAP2A,CAMK1,PIK3R1,FGFR1,SOS2,CDK6,ABL1,MDM2,CCND1,PDGFC,IDH1,PIK3R3,CALM1 (includes others),PIK3R6,MRAS,PRKCH
VEGF Family Ligand-Receptor Interactions	1.36E00	1.49E-01	-2.309	RAP2B,RAP2A,NRP2,PIK3R1,FGFR1,PLA2G4C,SOS2,VEGFB,PIK3R3,MRAS,PIK3R6,PRKCH,NRP1,PLA2G12A
Arsenate Detoxification I (Glutaredoxin)	1.36E00	5E-01	NaN	GLRX2,GSTO1
Heme Biosynthesis from Uroporphyrinogen-III I	1.36E00	5E-01	NaN	UROD,FECH
Phenylalanine Degradation I (Aerobic)	1.36E00	5E-01	NaN	PCBD1,QDPR
Fatty Acid β-oxidation III (Unsaturated, Odd Number)	1.36E00	5E-01	NaN	ECI2,ECI1
Chemokine Signaling	1.36E00	1.56E-01	-1.155	RAP2B,CALM1 (includes others),RAP2A,JUN,CAMK1,CCL13,CCL2,MRAS,PLCB3,CCL5,MAPK13,CCL7
Agranulocyte Adhesion and Diapedesis	1.36E00	1.3E-01	NaN	CD99,FN1,MYL6,MMP14,CCL20,MYL6B,CCL5,CLDN7,CCL4L1/CCL4L2,CXCL3,HRH1,CCL13,CCL2,CCL3L1,CXCL1,MMP19,ITGB1,ITGA6,RDX,CKLF,MMP2,IL18,CCL18,MMP9,CCL7
Role of IL-17A in Arthritis	1.35E00	1.59E-01	NaN	PIK3R3,CXCL3,CCL2,FGFR1,PIK3R1,PIK3R6,CCL20,CXCL1,CCL5,MAPK13,CCL7
Complement System	1.34E00	1.89E-01	1.633	CFD,CD59,C1QC,C1QA,CFH,C1QB,C2
B Cell Receptor Signaling	1.34E00	1.29E-01	-2.985	RAP2B,BLNK,RAP2A,APBB1IP,BAD,FCGR2A,EGR1,FGFR1,PIK3R1,SOS2,RAC1,ABL1,MAPK13,MAP3K4,TCF3,FCGR2B,PIK3R3,CALM1 (includes others),JUN,FOXO1,VAV3,PIK3R6,MRAS,NFATC2,MEF2C
Endometrial Cancer Signaling	1.31E00	1.57E-01	-2.111	PIK3R3,RAP2B,RAP2A,BAD,FGFR1,PIK3R1,SOS2,FOXO3,PIK3R6,MRAS,CCND1
Sumoylation Pathway	1.3E00	1.46E-01	1.508	RANBP2,SUMO3,RHOC,HDAC1,RAN,RPA1,MDM2,UBA2,TDG,PCNA,JUN,RHOB,RND3,CEBPA
Phagosome Formation	1.28E00	1.36E-01	NaN	ITGB1,MRC1,FN1,MSR1,FCGR2A,RHOC,PIK3R1,FGFR1,FCGR2B,PIK3R3,TLR5,RND3,RHOB,TLR6,PIK3R6,FCER1G,PLCB3,PRKCH
Colorectal Cancer Metastasis Signaling	1.27E00	1.22E-01	-2.921	RAP2B,PRKACB,RAP2A,BAD,PIK3R1,MMP14,SOS2,VEGFB,FZD1,PDGFC,CCND1,APPL1,JUN,RHOB,MRAS,GNG12,MMP19,RHOC,FGFR1,GNG2,RAC1,MMP2,IFNGR1,TCF3,PIK3R3,RND3,TLR5,TLR6,PIK3R6,MMP9,WNT5A
Phospholipase C Signaling	1.26E00	1.22E-01	-3.800	BLNK,RAP2B,PEBP1,RAP2A,MYL6,SOS2,MYL6B,FCGR2B,HMOX1,RHOB,HDAC7,MRAS,GNG12,PLA2G12A,ITGB1,PLD3,ARHGEF12,RHOC,FCGR2A,GNG2,HDAC1,PLA2G4C,RAC1,CALM1 (includes others),RND3,FCER1G,PLCB3,NFATC2,MEF2C,PRKCH
Protein Ubiquitination Pathway	1.24E00	1.21E-01	NaN	DNAJC17,PSMD7,DNAJB4,USP11,HSPA6,ANAPC10,CDC23,DNAJC15,ELOB,UBE2D4,DNAJC4,HSPE1,UBE2V1,UCHL5,PSMA3,USP40,NEDD4L,ANAPC11,UBB,PSMB5,DNAJC9,DNAJC19,PSMD5,DNAJC25,MDM2,PSMB6,HSPA2,PSMB2,RBX1,DNAJC14,HSPB11,HSPB1
CXCR4 Signaling	1.23E00	1.29E-01	-3.578	RAP2B,RAP2A,MYL6,RHOC,CD4,PIK3R1,EGR1,FGFR1,GNG2,RAC1,MYL6B,PIK3R3,DOCK1,JUN,RHOB,RND3,PIK3R6,MRAS,PLCB3,PRKCH,GNAL,GNG12
Unfolded protein response	1.2E00	1.61E-01	NaN	PPARG,UBXN4,DDIT3,CEBPD,HSPA6,CEBPA,ATF6,HSPA2,CEBPG
Serine Biosynthesis	1.17E00	4E-01	NaN	PSPH,UBAC2
Lysine Degradation II	1.17E00	4E-01	NaN	AASDH,ALDH7A1
Lysine Degradation V	1.17E00	4E-01	NaN	AASDH,ALDH7A1
dTMP De Novo Biosynthesis	1.17E00	4E-01	NaN	SHMT1,DHFR
Folate Polyglutamylation	1.17E00	4E-01	NaN	SHMT1,MTHFD1
14-3-3-mediated Signaling	1.16E00	1.31E-01	-3.464	RAP2B,RAP2A,BAD,YWHAH,TUBB4B,PIK3R1,STRADA,FGFR1,TUBB2A,TUBB,PIK3R3,JUN,FOXO1,PIK3R6,MRAS,PLCB3,TUBA1C,PRKCH
Axonal Guidance Signaling	1.16E00	1.12E-01	NaN	PRKACB,RAP2B,KLC1,ITSN1,MYL6,EPHB2,PIK3R1,SOS2,WASL,MYL6B,BRCC3,TUBB,ADAM8,ADAM28,BAIAP2,MRAS,TUBA1C,GNG12,FGFR1,TUBB2A,GNG2,RAC1,MMP2,PIK3R3,DOCK1,PIK3R6,PLCB3,PRKCH,GNAL,NRP1,RAP2A,ABL1,VEGFB,PITRM1,FZD1,PDGFC,EIF4E,EFNB1,ACE,ITGB1,PLXNA1,ARHGEF12,NRP2,TUBB4B,ARPC5L,NFATC2,AFG3L2,SEMA3C,ADAM9,MMP9,WNT5A
IL-17A Signaling in Gastric Cells	1.15E00	2E-01	NaN	JUN,CCL20,CXCL1,CCL5,MAPK13
PKCθ Signaling in T Lymphocytes	1.15E00	1.27E-01	-3.578	RAP2B,RAP2A,HLA-DOA,CD4,PIK3R1,FGFR1,SOS2,RAC1,MAP3K4,PIK3R3,JUN,CD80,CARD11,HLA-DMA,VAV3,HLA-DMB,PIK3R6,MRAS,FCER1G,NFATC2,CACNA2D4
Natural Killer Cell Signaling	1.15E00	1.33E-01	NaN	RAP2B,RAP2A,LAIR1,TYROBP,FCGR2A,PIK3R1,FGFR1,SOS2,RAC1,SIGLEC7,PIK3R3,VAV3,PIK3R6,MRAS,FCER1G,PRKCH,HCST
HGF Signaling	1.15E00	1.34E-01	-3.000	ITGB1,RAP2B,RAP2A,FGFR1,PIK3R1,SOS2,RAC1,MAP3K4,CCND1,PIK3R3,DOCK1,JUN,HGF,MRAS,PIK3R6,PRKCH
UVC-Induced MAPK Signaling	1.14E00	1.63E-01	-2.121	RAP2B,RAP2A,JUN,SMPD4,MRAS,SMPD1,PRKCH,MAPK13
UVB-Induced MAPK Signaling	1.14E00	1.52E-01	-1.897	PIK3R3,JUN,BAD,FGFR1,PIK3R1,PIK3R6,PRKCH,MAPK13,EIF4E,EIF4EBP1
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	1.13E00	2.22E-01	NaN	CCL2,IL10,CXCL1,CCL5
Valine Degradation I	1.13E00	2.22E-01	-2.000	BCAT1,ECHS1,BCAT2,ALDH6A1
p53 Signaling	1.12E00	1.35E-01	2.333	GADD45B,GADD45G,TOPBP1,FGFR1,PIK3R1,HDAC1,TIGAR,MDM2,HIF1A,CCND1,TP53I3,PIK3R3,PCNA,JUN,PIK3R6
IGF-1 Signaling	1.12E00	1.35E-01	-2.714	PRKACB,RAP2B,RAP2A,IGFBP4,YWHAH,BAD,FGFR1,PIK3R1,SOS2,PIK3R3,JUN,FOXO1,FOXO3,MRAS,PIK3R6
FLT3 Signaling in Hematopoietic Progenitor Cells	1.12E00	1.4E-01	-1.941	PIK3R3,RAP2B,RAP2A,BAD,FGFR1,PIK3R1,SOS2,PIK3R6,MRAS,RPS6KA2,MAPK13,EIF4E,EIF4EBP1
HMGB1 Signaling	1.11E00	1.29E-01	-3.300	RAP2B,RAP2A,RHOC,PIK3R1,FGFR1,RAC1,RBBP7,IFNGR1,MAPK13,HMGB1,PIK3R3,IL18,JUN,RHOB,CCL2,RND3,PIK3R6,MRAS
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	1.1E00	1.6E-01	1.633	CKS2,YWHAH,PTPMT1,ABL1,CKS1B,MDM2,AURKA,CDK1
Toll-like Receptor Signaling	1.1E00	1.45E-01	-0.378	SIGIRR,PPARA,IL18,LY96,UBB,JUN,TOLLIP,TLR5,TLR6,CD14,MAPK13
Chronic Myeloid Leukemia Signaling	1.09E00	1.34E-01	NaN	RAP2B,RAP2A,BAD,FGFR1,PIK3R1,HDAC1,SOS2,CDK6,ABL1,MDM2,CCND1,PIK3R3,HDAC7,MRAS,PIK3R6
Ovarian Cancer Signaling	1.09E00	1.28E-01	-1.732	RAP2B,PRKACB,RAP2A,PIK3R1,FGFR1,PTGS1,ABL1,VEGFB,MMP2,FZD1,TCF3,PDGFC,CCND1,PIK3R3,PIK3R6,MRAS,BRCA2,MMP9,WNT5A
