© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Fcγ Receptor-mediated Phagocytosis in Macrophages and Monocytes	6.67E00	1.74E-01	-2.500	SRC,ACTR2,ARPC1B,ACTB,TLN1,FYB1,ACTR3,CDC42,WAS,LYN,HCK,ACTG1,LCP2,FGR,VASP,PRKCB
Inflammasome pathway	6.57E00	4E-01	-1.414	NOD2,MYD88,CASP1,IL1B,NFKB2,NFKB1,CASP5,P2RX7
Osteoarthritis Pathway	6.54E00	1.18E-01	-0.894	SIK3,RELA,TGFBR1,SMAD3,CASP4,SMAD5,NFKB1,SLC39A8,CASP1,SPHK1,ATF4,S100A8,NAMPT,TNFRSF1B,S1PR2,CREBBP,NFKB2,CEBPB,ATF2,S100A9,IL1B,NOTCH1,P2RX7,CASP5,LRP1
T Helper Cell Differentiation	6.45E00	1.92E-01	NaN	STAT6,IL2RG,TGFBR1,HLA-A,HLA-B,IL6R,HLA-DQB1,STAT3,BCL6,CD40,IL10RA,STAT1,TNFRSF1B,HLA-DRB5
Iron homeostasis signaling pathway	6.19E00	1.39E-01	NaN	ATP6V0C,PCBP1,SMAD3,TCIRG1,CUL1,IL6R,SLC25A37,SMAD5,STAT3,JAK2,HMOX2,ATP6V0A1,ATP6V0D1,MMS19,FBXL5,JAK3,ATP6V1B2,LRP1,FTH1
fMLP Signaling in Neutrophils	5.94E00	1.4E-01	-2.324	RAP1B,RELA,ACTR2,ARPC1B,FPR2,NFKB2,NFKB1,FPR1,GNAI2,GNB1,ACTR3,CDC42,WAS,NCF2,GNB2,CYBB,NFKBIB,PRKCB
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	5.86E00	3.33E-01	NaN	RELA,PTPN2,STAT2,JAK2,STAT3,NFKB2,STAT1,NFKB1
Caveolar-mediated Endocytosis Signaling	5.8E00	1.83E-01	NaN	SRC,RAB5C,HLA-A,ACTB,HLA-B,CD48,FLOT1,ITGAL,CD55,FLNA,HLA-C,PTPN1,ACTG1
Phagosome Maturation	5.67E00	1.28E-01	NaN	CALR,ATP6V0C,RAB5C,HLA-A,TCIRG1,HLA-B,TUBA4A,RAB7A,TAP1,ATP6V0A1,HLA-C,CTSS,ATP6V0D1,NCF2,CYBB,VPS37B,NAPA,ATP6V1B2,HLA-DRB5
Signaling by Rho Family GTPases	5.66E00	1.03E-01	-3.130	RELA,ACTR2,MAP2K7,CFL1,ARPC1B,ACTB,CDH23,CDC42EP3,LIMK2,NFKB2,CDC42EP2,NFKB1,GNAI2,GNB1,RHOQ,ACTR3,GNA15,WAS,CDC42,RHOA,NCF2,GNB2,CYBB,GNA13,ACTG1,MSN
RhoGDI Signaling	5.64E00	1.19E-01	1.500	ACTR2,SRC,CFL1,ARPC1B,ACTB,CREBBP,CDH23,LIMK2,GNAI2,GNB1,ACTR3,RHOQ,GNA15,CDC42,RHOA,CD44,GNB2,ARHGDIA,GNA13,ACTG1,MSN
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	5.55E00	1.13E-01	-1.789	RAP1B,RELA,MAP2K7,CREBBP,NFKB2,JAK2,NFKB1,SPI1,IRF1,LYZ,RHOQ,RHOA,NCF2,CYBB,S100A8,SERPINA1,IRF8,TNFRSF1B,JAK3,STAT1,NFKBIB,PRKCB
TREM1 Signaling	5.51E00	1.73E-01	-1.387	RELA,NOD2,ICAM1,CD40,MYD88,CASP1,CIITA,IL1B,STAT3,NFKB2,JAK2,NFKB1,CASP5
JAK/Stat Signaling	5.37E00	1.57E-01	-0.535	RAP1B,SOCS3,RELA,STAT6,JAK2,NFKB2,STAT3,CEBPB,NFKB1,CDKN1A,PTPN1,STAT2,STAT1,JAK3
Interferon Signaling	5.35E00	2.5E-01	-0.333	RELA,PTPN2,STAT2,JAK2,PSMB8,STAT1,TAP1,IRF1,IFITM1
IL-12 Signaling and Production in Macrophages	5.16E00	1.23E-01	NaN	STAT6,RELA,MYD88,RAB7A,CEBPB,NFKB2,NFKB1,SPI1,IRF1,LYZ,CD40,S100A8,SERPINA1,IRF8,REL,STAT1,NFKBIB,PRKCB
RAR Activation	5.15E00	1.11E-01	NaN	RELA,SRC,PRMT2,IL3RA,CSK,SMAD3,ACTB,RELB,CREBBP,SMAD5,NFKB2,JAK2,NFKB1,SMARCD3,CSF2RB,TNIP1,RARA,PNRC1,REL,PML,PRKCB
Death Receptor Signaling	5.14E00	1.51E-01	-0.535	RELA,MAP2K7,ACTB,PARP10,ZC3HAV1,TNFSF10,NFKB2,NFKB1,CFLAR,NFKBIB,TNFRSF1B,BIRC3,ACTG1,PARP14
Acute Phase Response Signaling	5.12E00	1.14E-01	-2.065	RAP1B,RELA,SOCS3,MAP2K7,MYD88,IL6R,CEBPB,STAT3,NFKB2,JAK2,NFKB1,HNRNPK,HMOX2,SOD2,IL1RN,IL1B,SERPINA1,MAP2K3,TNFRSF1B,NFKBIB
B Cell Receptor Signaling	5.01E00	1.08E-01	-2.683	RAP1B,RELA,MAP2K7,CFL1,CSK,CREBBP,NFKB2,BCL6,NFKB1,ATF2,PTPRC,CAMK2D,DAPP1,CDC42,LYN,ATF4,PIK3AP1,MAP2K3,RASSF5,NFKBIB,PRKCB
PI3K Signaling in B Lymphocytes	4.99E00	1.25E-01	-2.000	RAP1B,RELA,ATF5,PDIA3,NFKB2,NFKB1,ATF2,PTPRC,CAMK2D,DAPP1,CD40,SH2B2,LYN,ATF4,PIK3AP1,NFKBIB,PRKCB
Protein Kinase A Signaling	4.82E00	8.21E-02	-1.043	RAP1B,RELA,TGFBR1,PTPN2,PDIA3,SMAD3,DUSP6,NFKB1,GNB1,PTPRC,CAMK2D,FLNA,PTPN1,ATF4,GNA13,NFKBIB,VASP,KDELR1,PTPN7,PTPRE,YWHAE,CREBBP,YWHAZ,PDE4B,NFKB2,TTN,ATF2,GNAI2,AKAP13,RHOA,EYA3,GNB2,PRKCB
CD28 Signaling in T Helper Cells	4.56E00	1.21E-01	-2.111	ACTR2,RELA,ARPC1B,HLA-A,CSK,HLA-B,HLA-DQB1,NFKB2,NFKB1,PTPRC,ACTR3,WAS,CDC42,NFKBIB,LCP2,HLA-DRB5
IL-1 Signaling	4.52E00	1.41E-01	-1.414	GNB1,GNAI2,RELA,MAP2K7,GNA15,MYD88,GNB2,MAP2K3,GNA13,NFKB2,NFKB1,NFKBIB,IRAK2
IL-9 Signaling	4.51E00	2E-01	-1.000	SOCS3,RELA,IL2RG,BCL3,NFKB2,STAT3,NFKB1,STAT1,JAK3
IL-6 Signaling	4.48E00	1.19E-01	-2.500	RAP1B,SOCS3,RELA,MAP2K7,IL6R,CEBPB,JAK2,NFKB2,STAT3,NFKB1,IL1RN,IL1B,MAP2K3,TNFRSF1B,NFKBIB,MCL1
Th2 Pathway	4.43E00	1.13E-01	0.905	RUNX3,STAT6,SOCS3,IL2RG,ICAM1,TGFBR1,HLA-A,HLA-B,HLA-DQB1,JAK2,NFKB1,SPI1,NOTCH2,CD40,JAK3,NOTCH1,HLA-DRB5
Opioid Signaling Pathway	4.39E00	9.35E-02	-2.558	RAP1B,SRC,MAP2K7,GRK2,CREBBP,MAPK6,NFKB2,RGS12,NFKB1,GRINA,ATF2,GNB1,GNAI2,FOSB,CAMK2D,AP1G2,CDC42,HCK,LYN,ATF4,MAP2K3,FGR,PRKCB
Cdc42 Signaling	4.36E00	1.08E-01	-2.111	ACTR2,SRC,CFL1,ARPC1B,HLA-A,HLA-B,LIMK2,CDC42EP2,HLA-DQB1,ATF2,DIAPH1,ACTR3,CDC42,WAS,HLA-C,HLA-F,HLA-E,HLA-DRB5
Rac Signaling	4.34E00	1.22E-01	-2.840	RAP1B,ACTR2,RELA,MAP2K7,CFL1,ARPC1B,LIMK2,NFKB2,NFKB1,ACTR3,CDC42,RHOA,NCF2,CD44,CYBB
IL-15 Production	4.28E00	2.5E-01	NaN	RELA,NFKB2,JAK2,NFKB1,STAT1,JAK3,IRF1
Graft-versus-Host Disease Signaling	4.27E00	1.88E-01	NaN	IL1RN,HLA-A,HLA-C,HLA-B,IL1B,HLA-DQB1,HLA-F,HLA-E,HLA-DRB5
PPARα/RXRα Activation	4.24E00	1.02E-01	2.000	RAP1B,RELA,MAP2K7,TGFBR1,PDIA3,SMAD3,CD36,CREBBP,BCL3,NFKB2,JAK2,NFKB1,GK,GNA15,IL1B,MAP2K3,GOT2,NFKBIB,PRKCB
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	4.23E00	8.41E-02	NaN	RAP1B,RELA,SOCS3,ICAM1,PDIA3,JAK2,NFKB1,CAMK2D,ATF4,LTBR,TNFRSF1B,NFKBIB,SRC,MAP2K7,MYD88,IL6R,CREBBP,STAT3,CEBPB,ATF2,IL1RN,RHOA,IL1B,MAP2K3,LRP1,IRAK2,PRKCB
Acute Myeloid Leukemia Signaling	4.22E00	1.33E-01	-1.897	CSF3R,RAP1B,CSF2RB,RELA,MAP2K7,PIM1,RARA,MAP2K3,NFKB2,STAT3,PML,NFKB1,SPI1
NF-κB Signaling	4.21E00	1.02E-01	-1.606	RAP1B,RELA,MAP2K7,TGFBR1,MYD88,RELB,CREBBP,TNFAIP3,NFKB2,NFKB1,TNIP1,CD40,IL1RN,PELI1,IL1B,LTBR,TNFRSF1B,NFKBIB,PRKCB
TNFR2 Signaling	4.07E00	2.33E-01	-0.816	RELA,TNFAIP3,NFKB2,NFKBIB,TNFRSF1B,NFKB1,BIRC3
Role of NFAT in Regulation of the Immune Response	4.06E00	9.9E-02	-2.840	RAP1B,RELA,HLA-A,HLA-B,MEF2A,NFKB2,HLA-DQB1,NFKB1,ATF2,GNAI2,GNB1,GNA15,GNB2,LYN,XPO1,GNA13,NFKBIB,LCP2,HLA-DRB5
Virus Entry via Endocytic Pathways	4.04E00	1.21E-01	NaN	RAP1B,SRC,HLA-A,AP1S2,ACTB,HLA-B,ITGAL,CD55,AP1G2,HLA-C,CDC42,FLNA,ACTG1,PRKCB
Activation of IRF by Cytosolic Pattern Recognition Receptors	4.04E00	1.59E-01	-0.632	RELA,IRF7,CD40,CREBBP,STAT2,NFKB2,NFKB1,STAT1,NFKBIB,ATF2
STAT3 Pathway	4E00	1.26E-01	0.577	RAP1B,SRC,SOCS3,IL2RG,TGFBR1,PTPN2,JAK2,STAT3,CSF2RB,PIM1,CDKN1A,IL1B,IL27RA
Role of PKR in Interferon Induction and Antiviral Response	3.99E00	1.95E-01	NaN	RELA,MAP2K3,NFKB2,NFKB1,STAT1,NFKBIB,IRF1,ATF2
Leukocyte Extravasation Signaling	3.98E00	9.48E-02	-1.886	RAP1B,SRC,ICAM1,ACTB,ITGAL,GNAI2,TIMP1,ICAM3,WAS,CLDN1,CDC42,RHOA,NCF2,CD44,CYBB,RASSF5,ACTG1,VASP,MSN,PRKCB
Regulation of eIF4 and p70S6K Signaling	3.97E00	1.04E-01	NaN	RAP1B,PABPC1,RPS3A,EIF4A2,RPS11,RPS6,RPS4Y1,RPS16,EIF1,EIF4G2,RPS13,RPS26,RPS9,RPS2,RPS3,EIF1AY,RPS24
Th17 Activation Pathway	3.92E00	1.32E-01	-0.577	SOCS3,RELA,MYD88,IL6R,IL1B,DEFB1,NFKB2,STAT3,JAK2,NFKB1,JAK3,IRAK2
G-Protein Coupled Receptor Signaling	3.91E00	8.51E-02	NaN	RAP1B,RELA,HCAR3,SRC,GRK2,DUSP6,CREBBP,FPR2,STAT3,NFKB2,PDE4B,NFKB1,RGS12,ATF2,FPR1,GNAI2,P2RY13,CAMK2D,P2RY14,GNA15,ATF4,NFKBIB,HCAR2,PRKCB
Epithelial Adherens Junction Signaling	3.89E00	1.07E-01	NaN	RAP1B,RAPGEF1,SRC,ACTR2,TGFBR1,MYH9,ARPC1B,ACTB,TUBA4A,NOTCH2,ACTR3,WAS,CDC42,RHOA,ACTG1,NOTCH1
CD40 Signaling	3.85E00	1.39E-01	-0.905	RELA,MAP2K7,ICAM1,CD40,TNFAIP3,MAP2K3,NFKB2,STAT3,NFKB1,JAK3,NFKBIB
iCOS-iCOSL Signaling in T Helper Cells	3.77E00	1.14E-01	-1.732	RELA,IL2RG,HLA-A,CSK,HLA-B,NFKB2,HLA-DQB1,NFKB1,PTPRC,CAMK2D,CD40,NFKBIB,LCP2,HLA-DRB5
IL-8 Signaling	3.74E00	9.36E-02	-1.604	RAP1B,RELA,SRC,ICAM1,LIMK2,NFKB1,GNAI2,RAB11FIP2,GNB1,RHOQ,RHOA,NCF2,GNB2,CYBB,GNA13,NFKBIB,VASP,PRKCB,IRAK2
RhoA Signaling	3.73E00	1.13E-01	-2.138	ACTR2,ARPC1B,CFL1,ACTB,CDC42EP3,LIMK2,CDC42EP2,TTN,RAPGEF2,ACTR3,RHOA,GNA13,ACTG1,MSN
IL-10 Signaling	3.7E00	1.45E-01	NaN	SOCS3,RELA,IL1RN,IL10RA,IL1B,MAP2K3,NFKB2,STAT3,NFKB1,NFKBIB
mTOR Signaling	3.66E00	9.22E-02	-1.890	RAP1B,MAPKAP1,RPS3A,FKBP1A,EIF4A2,RPS11,RPS6,RPS4Y1,RPS16,RHOQ,EIF4G2,RPS26,RPS13,RHOA,RPS9,RPS2,RPS3,RPS24,PRKCB
Role of IL-17F in Allergic Inflammatory Airway Diseases	3.62E00	1.74E-01	-1.890	CXCL10,RELA,CREBBP,IL1B,ATF4,NFKB2,NFKB1,ATF2
ERK5 Signaling	3.6E00	1.41E-01	-1.897	RAP1B,SRC,YWHAE,CREBBP,YWHAZ,MEF2A,ATF4,FOSL1,GNA13,ATF2
Ephrin B Signaling	3.49E00	1.37E-01	-1.890	GNAI2,GNB1,CFL1,ABI1,GNA15,CDC42,RHOA,GNB2,GNA13,HNRNPK
Autoimmune Thyroid Disease Signaling	3.42E00	1.63E-01	NaN	CD40,HLA-C,HLA-A,HLA-B,HLA-DQB1,HLA-F,HLA-DRB5,HLA-E
Actin Cytoskeleton Signaling	3.4E00	8.58E-02	-3.300	RAP1B,ACTR2,MYH9,CFL1,ARPC1B,CSK,ACTB,TRIO,TLN1,LIMK2,TTN,DIAPH1,ACTR3,CDC42,FLNA,WAS,RHOA,GNA13,ACTG1,MSN
Actin Nucleation by ARP-WASP Complex	3.39E00	1.45E-01	-3.000	RAP1B,ACTR2,RHOQ,ACTR3,ARPC1B,WAS,CDC42,RHOA,VASP
Tight Junction Signaling	3.35E00	9.58E-02	NaN	RELA,TGFBR1,TJP2,MYH9,ACTB,YBX3,SYMPK,NFKB2,NFKB1,CDC42,CLDN1,RHOA,TNFRSF1B,NAPA,ACTG1,VASP
Toll-like Receptor Signaling	3.35E00	1.32E-01	-0.378	RELA,IL1RN,MYD88,TICAM1,IL1B,TNFAIP3,MAP2K3,NFKB2,NFKB1,IRAK2
Altered T Cell and B Cell Signaling in Rheumatoid Arthritis	3.35E00	1.22E-01	NaN	RELA,CD40,IL1RN,HLA-A,RELB,HLA-B,IL1B,NFKB2,HLA-DQB1,NFKB1,HLA-DRB5
OX40 Signaling Pathway	3.31E00	1.21E-01	0.000	RELA,HLA-A,HLA-C,HLA-B,NFKB2,HLA-DQB1,NFKB1,NFKBIB,HLA-F,HLA-E,HLA-DRB5
Androgen Signaling	3.28E00	1.02E-01	0.707	GNB1,GNAI2,SRC,RELA,CALR,GNA15,SMAD3,CREBBP,GNB2,GTF2F1,GNA13,NFKB2,NFKB1,PRKCB
GNRH Signaling	3.24E00	9.36E-02	-1.000	RAP1B,SRC,RELA,MAP2K7,CREBBP,NFKB2,NFKB1,ATF2,GNB1,GNAI2,CAMK2D,GNA15,CDC42,ATF4,MAP2K3,PRKCB
TGF-β Signaling	3.23E00	1.18E-01	-2.530	RAP1B,RUNX3,IRF7,TGFBR1,CDC42,SMAD3,CREBBP,MAP2K3,SMAD5,VDR,INHBA
GM-CSF Signaling	3.22E00	1.27E-01	0.000	RAP1B,CSF2RB,CAMK2D,PIM1,HCK,LYN,STAT3,JAK2,STAT1,PRKCB
Atherosclerosis Signaling	3.1E00	1.02E-01	NaN	RELA,LYZ,ICAM1,CD40,IL1RN,CD36,IL1B,RARRES3,S100A8,SERPINA1,CCR2,NFKB2,NFKB1
Remodeling of Epithelial Adherens Junctions	3.04E00	1.3E-01	-1.633	SRC,ACTR2,RAB5C,ACTR3,ARPC1B,ACTB,RAB7A,TUBA4A,ACTG1
Unfolded protein response	3.02E00	1.43E-01	NaN	CALR,MAP2K7,EDEM1,HSPA1A/HSPA1B,PPP1R15A,XBP1,ATF4,CEBPB
Role of Tissue Factor in Cancer	3E00	1E-01	NaN	RAP1B,SRC,GNA15,CFL1,PDXP,CDC42,HCK,LYN,IL1B,LIMK2,GNA13,JAK2,FGR
Role of RIG1-like Receptors in Antiviral Innate Immunity	2.99E00	1.59E-01	-0.447	RELA,IRF7,CREBBP,NFKB2,NFKB1,NFKBIB,TRIM25
Role of JAK2 in Hormone-like Cytokine Signaling	2.88E00	1.76E-01	NaN	SOCS3,SH2B2,PTPN1,STAT3,JAK2,STAT1
Molecular Mechanisms of Cancer	2.83E00	6.85E-02	NaN	RAP1B,RELA,RAPGEF1,TGFBR1,SMAD3,JAK2,SMAD5,NFKB1,CAMK2D,GNA15,GNA13,NFKBIB,BIRC3,SRC,CREBBP,NFKB2,GNAI2,RHOQ,CDC42,RHOA,CDKN1A,MAP2K3,CFLAR,JAK3,NOTCH1,LRP1,PRKCB
Hepatic Fibrosis / Hepatic Stellate Cell Activation	2.82E00	8.56E-02	NaN	RELA,ICAM1,TGFBR1,MYH9,SMAD3,IL6R,NFKB2,CXCL9,NFKB1,CD40,TIMP1,IL10RA,IL1B,ECE1,STAT1,TNFRSF1B
Pancreatic Adenocarcinoma Signaling	2.81E00	1E-01	0.000	RELA,TGFBR1,CDC42,SMAD3,CDKN1A,NFKB2,STAT3,JAK2,NFKB1,STAT1,JAK3,NOTCH1
IL-17A Signaling in Fibroblasts	2.81E00	1.71E-01	NaN	RELA,NFKB2,CEBPB,NFKB1,NFKBIB,NFKBIZ
LXR/RXR Activation	2.78E00	9.92E-02	0.905	RELA,LYZ,LDLR,IL1RN,CD36,IL1B,S100A8,SERPINA1,NFKB2,NFKB1,TNFRSF1B,CYP51A1
Induction of Apoptosis by HIV1	2.78E00	1.31E-01	-0.707	RELA,MAP2K7,SLC25A6,NFKB2,NFKB1,TNFRSF1B,NFKBIB,BIRC3
Regulation of Actin-based Motility by Rho	2.77E00	1.11E-01	-3.000	ACTR2,RHOQ,ACTR3,CFL1,ARPC1B,WAS,CDC42,ACTB,RHOA,ARHGDIA
B Cell Development	2.74E00	1.67E-01	NaN	PTPRC,CD40,HLA-A,HLA-B,HLA-DQB1,HLA-DRB5
IL-17 Signaling	2.74E00	1.1E-01	NaN	CXCL10,RAP1B,RELA,CXCL11,TIMP1,MAP2K3,JAK2,CEBPB,NFKB1,ATF2
Role of JAK family kinases in IL-6-type Cytokine Signaling	2.72E00	2E-01	NaN	SOCS3,IL6R,STAT3,JAK2,STAT1
Gαi Signaling	2.72E00	9.76E-02	0.302	GNAI2,GNB1,RAP1B,SRC,P2RY13,P2RY14,FPR2,GNB2,STAT3,RGS12,HCAR2,FPR1
Cholecystokinin/Gastrin-mediated Signaling	2.72E00	1.03E-01	-2.111	RAP1B,SRC,RHOQ,IL1RN,RHOA,MEF2A,IL1B,MAP2K3,GNA13,ATF2,PRKCB
cAMP-mediated signaling	2.71E00	7.89E-02	0.243	HCAR3,SRC,GRK2,DUSP6,CREBBP,FPR2,STAT3,PDE4B,RGS12,FPR1,ATF2,GNAI2,AKAP13,P2RY13,CAMK2D,P2RY14,ATF4,HCAR2
Role of JAK1 and JAK3 in γc Cytokine Signaling	2.7E00	1.17E-01	NaN	RAP1B,SOCS3,STAT6,IL2RG,SH2B2,STAT3,JAK2,STAT1,JAK3
Primary Immunodeficiency Signaling	2.66E00	1.4E-01	NaN	PTPRC,IL2RG,CD40,CIITA,JAK3,TAP1,TAP2
TNFR1 Signaling	2.66E00	1.4E-01	-0.816	RELA,CDC42,TNFAIP3,NFKB2,NFKBIB,NFKB1,BIRC3
IL-4 Signaling	2.63E00	1.06E-01	NaN	RAP1B,STAT6,IL2RG,HLA-A,HLA-B,HMGA1,JAK2,HLA-DQB1,JAK3,HLA-DRB5
Salvage Pathways of Pyrimidine Deoxyribonucleotides	2.62E00	3.75E-01	NaN	APOBEC3B,TYMP,APOBEC3A
Endocannabinoid Developing Neuron Pathway	2.6E00	9.45E-02	-2.887	GNAI2,GNB1,RAP1B,SRC,MAP2K7,RHOA,CREBBP,MAPK6,ATF4,MAP2K3,STAT3,ATF2
ILK Signaling	2.59E00	8.12E-02	-2.500	RELA,MYH9,CFL1,ACTB,CREBBP,MUC1,NFKB2,NFKB1,ATF2,RHOQ,CDC42,FLNA,RHOA,SH2B2,ATF4,ACTG1
Sirtuin Signaling Pathway	2.57E00	7.19E-02	1.886	PGK1,RELA,PFKFB3,PPIF,GLS,DUSP6,ATG3,DOT1L,TUBA4A,MAPK6,SDHC,NFKB2,STAT3,NFKB1,NDUFA5,SOD2,SLC25A6,NDUFS2,NAMPT,GOT2,LDHA
Communication between Innate and Adaptive Immune Cells	2.56E00	1.04E-01	NaN	CXCL10,CD40,IL1RN,HLA-A,HLA-C,HLA-B,IL1B,HLA-F,HLA-E,HLA-DRB5
Sumoylation Pathway	2.56E00	1.04E-01	1.890	SP3,RHOQ,KDM1A,RHOA,CREBBP,ARHGDIA,NFKB2,PML,NFKB1,ISG20
Granulocyte Adhesion and Diapedesis	2.55E00	8.29E-02	NaN	CSF3R,SELL,CXCL11,ICAM1,FPR2,CXCL9,ITGAL,FPR1,GNAI2,CXCL10,IL1RN,CLDN1,IL1B,TNFRSF1B,MSN
NRF2-mediated Oxidative Stress Response	2.53E00	8E-02	-2.111	RAP1B,MAP2K7,ACTB,CREBBP,JUNB,DNAJA1,MAFG,SOD2,ATF4,FOSL1,MAP2K3,JUND,ACTG1,DNAJC16,PRKCB,FTH1
PI3K/AKT Signaling	2.52E00	9.23E-02	-0.905	RAP1B,RELA,CDC37,YWHAE,CDKN1A,YWHAZ,NFKB2,JAK2,NFKB1,JAK3,NFKBIB,MCL1
IL-15 Signaling	2.51E00	1.1E-01	NaN	RAP1B,STAT6,RELA,IL2RG,NFKB2,STAT3,JAK2,NFKB1,JAK3
Sertoli Cell-Sertoli Cell Junction Signaling	2.48E00	8.15E-02	NaN	RAP1B,SRC,MAP2K7,TJP2,ACTB,TUBA4A,YBX3,SYMPK,ATF2,CDC42,CLDN1,WAS,MTMR2,MAP2K3,ACTG1
Pathogenesis of Multiple Sclerosis	2.46E00	3.33E-01	NaN	CXCL10,CXCL11,CXCL9
Clathrin-mediated Endocytosis Signaling	2.38E00	7.73E-02	NaN	SRC,ACTR2,RAB5C,ARPC1B,ACTB,AP1S2,RAB7A,CD2AP,LYZ,LDLR,ACTR3,AP1G2,CDC42,S100A8,SERPINA1,ACTG1
p38 MAPK Signaling	2.36E00	9.24E-02	-3.317	TGFBR1,IL1RN,CREBBP,MEF2A,ATF4,IL1B,MAP2K3,TNFRSF1B,STAT1,ATF2,IRAK2
Type II Diabetes Mellitus Signaling	2.35E00	8.44E-02	-0.632	SOCS3,RELA,MAP2K7,CD36,SH2B2,NFKB2,CEBPB,SLC27A3,NFKB1,TNFRSF1B,NFKBIB,ACSL1,PRKCB
Erythropoietin Signaling	2.34E00	1.03E-01	NaN	RAP1B,SRC,SOCS3,RELA,NFKB2,JAK2,NFKB1,NFKBIB,PRKCB
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.34E00	8.76E-02	-0.302	RELA,IRF7,NOD2,CLEC7A,MYD88,TICAM1,CASP1,IL1B,NFKB2,NFKB1,RIPK2,PRKCB
HMGB1 Signaling	2.28E00	8.63E-02	-2.887	RAP1B,RELA,MAP2K7,RHOQ,ICAM1,CDC42,RHOA,IL1B,MAP2K3,NFKB2,NFKB1,TNFRSF1B
