lung_t_cell_0	lung_t_cell_1	lung_t_cell_2	lung_t_cell_3	lung_t_cell_4	lung_t_cell_5	lung_t_cell_6
THEMIS	0.841863317444195	0	0	0	0	0	0
PARP8	0.46811351794531	0	0	0	0	0	0
NIN	0.570277831621802	0	0	0	0	0	0
HERPUD1	0.296795896838048	0	0	0.315180827629681	0.393304166467467	0	0
SLC7A5P2	0.431790322573718	0	0	0	0.704334357777667	0	0
MIDN	0.523165223418471	0	0	0	0	0	0
SLC38A1	0.328345608836767	0	0	0	0	0	0
JUND	0.265783911714188	0	0	0	0	0	0
IKZF3	0.377043403806812	0	0	0	0	0	0
HLA-DPB1	0.362246627538047	0	0	0	0	0	0
PDE7A	0.487800438876646	0	0	0	0.439213326939079	0	0
NAA50	0.498380995729402	0	0	0	0	0	0
HCG18	0.444802459780075	0	0	0	0.442836849011278	0	0
MARCKSL1	0.605632842018174	0	0	0	0	0	0
MCL1	0.284714150572015	0	0	0	0.277548239221187	0	0
CLDND1	0.542962927393448	0	0	0	0	0	0
SLA2	0.310605096448247	0	1.3110974981118	0	0	0	0
CLEC2B	0.270067469418726	0	0.666241023246712	0	0	0	0.635722912920971
TGFB1	0.480638815102564	0	0	0	0	0	0
IER2	0.304252869521363	0	0.513510084363963	0	0	0	0
AKNA	0.277496196437253	0	1.0504894889783	0	0	0	0
SRRT	0.805267684858671	0	0	0	0	0	0
KIAA1683	0.423150480008427	0	0	0	0.254369966664337	0	0
PTPN22	0.393116323066172	0	0	0	0	0	0
OAT	0.561739005440304	0	0	0	0	0	0
EHD1	0.500703197824297	0	0	0	0	0	0
HERPUD2	0.411557659824775	0	0	0	0	0	0
TUBB2A	0.42221905073742	0	0	0	0	0	0
SMG1P2	0.601947304365905	0	0	0	0.492044018835192	0	0
ANKRD37	0.476180809579907	0	0	0	0	0	0
DHX36	0.268424567150363	0	0	0	0	0	0
TSC22D2	0.573276939306216	0	0	0	0	0	0
TAGAP	0.27302508473486	0	0	0	0	0	0
LSR	0.605121428184437	0	0	0	0	0	0
PRMT9	0.533009223501697	0	0	0	0	0	0
ZBTB7A	0.380676711049106	0	0	0	0	0	0
SMG1P1	0.254412288702431	0	0	0	1.01196771739449	0	0
IRF4	0.393911536095366	0	0	0.607519928964238	0	0.321535736681072	0
SLFN11	0.547311081662735	0	0	0	0	0	0
LYAR	0.35219128708076	0	0.452195089046744	0	0	0.258785622713755	0
CNN2	0.262414905253305	0	0	0	0	0.286681076958107	0
NEU1	0.609355762911966	0	0	0	0	0	0
CD84	0.496062820154306	0	0	0.278246817094939	0	0	0
CD63	0.272899721434836	0	0.337425676153772	0	0	0	0.966584043621069
PITPNC1	0.300740629380605	0	0	0	0	0	0
CXCR3	0.477968227728795	0	0	0	0.290701486673367	0.455095493217916	0
USP11	0.530985156106988	0	0.564733167847816	0	0	0	0
GADD45B	0.321052771452858	0	0.345971842544958	0	0	0	0
TUBA1A	0.362140921614927	0	0	0	0	0	0
USP36	0.373707104438066	0	0	0	0.545513923824749	0	0
TTN	0.863231183586847	0	0	0.822081304524239	0	0	0
CKS2	0.27995716309346	0	0	0	0	0.419129278130687	0
PDE4B	0.331062698012447	0	0	0	0.439546678603291	0	0
KCNA3	0.418515557469322	0	0	0	0	0	0
CDC34	0.308049419221862	0	0	0	0	0	0
SLK	0.519689002917927	0	0	0	0	0	0
RELL1	0.25824923194916	0	0	0	0	0	0
PVRIG	0.493900718138744	0	0.336950780738256	0	0	0	0.835283196409385
IL10RA	0.271789379060359	0	0	0.483446844233255	0	0	0
CDK17	0.504914297584548	0	0	0	0	0	0
ISG20L2	0.287715440147754	0	0	0	0	0	0
JOSD1	0.429412414055646	0	0	0	0.607717772729425	0	0
C12orf65	0.595816037455165	0	0	0	0	0	0
RPL30	0	0.70397273649838	0	0	0	0	0
RPS18	0	0.600051470218012	0	0	0	0	0
IL7R	0	0.756192336241168	0	0	0.299553804798271	0	0
RPS3A	0	0.632130490960922	0	0	0	0	0
RPLP1	0	0.581639297297205	0	0	0	0	0
RPL13A	0	0.477858159053874	0	0	0	0	0
EEF1A1	0	0.423345385664058	0	0	0	0	0
RPS14	0	0.568173081845317	0	0	0	0	0
RPL13	0	0.510257419107343	0	0	0	0	0
RPS6	0	0.555079765331303	0	0	0	0	0
RPS12	0	0.588148661202257	0	0	0	0	0
TPT1	0	0.500747194344444	0	0	0	0	0
RPL34	0	0.657855630871778	0	0	0	0	0
RPL32	0	0.622402714233418	0	0	0	0	0
RPL11	0	0.711834765611482	0	0	0	0	0
RPLP2	0	0.539305302690814	0	0	0	0	0
RPS19	0	0.463078963326323	0	0	0	0	0
RPL3	0	0.434206512660221	0	0	0	0	0
RPL21	0	0.463583885998426	0	0	0	0	0
RPS3	0	0.453031687238152	0	0	0	0	0
RPL7	0	0.528493563149926	0	0	0	0	0
RPS25	0	0.51710180446333	0	0	0	0	0
RPS27A	0	0.512540528266572	0	0	0	0	0
RPL23A	0	0.426666468622706	0	0	0	0	0
LTB	0	0.915236763090928	0	0.900475126427407	0	0	0
RPL37	0	0.633918611292585	0	0	0	0	0
RPL18A	0	0.479374511868877	0	0	0	0	0
RPS27	0	0.495313193037745	0	0	0	0	0
RPL31	0	0.615554170878271	0	0	0	0	0
RPS23	0	0.577750294303443	0	0	0	0	0
RPL10	0	0.463077063384032	0	0	0	0	0
RPL5	0	0.491476749456728	0	0	0	0	0
RPL19	0	0.487620223973578	0	0	0	0	0
GPR183	0	0.822566347858858	0	0	0	0	0
RPL41	0	0.389366572171855	0	0	0	0	0
CCR7	0	1.01824263516187	0	0	0	0	0
RPL36	0	0.534789746746561	0	0	0	0	0
RPS11	0	0.394727270843983	0	0	0	0	0
FXYD5	0	0.650066270399908	0	0	0	0	0
RPS20	0	0.484774371735172	0	0	0	0	0
RPS15A	0	0.474739714023766	0	0	0	0	0
RPS16	0	0.466420101558908	0	0	0	0	0
RPS8	0	0.507188829542046	0	0	0	0	0
RPS15	0	0.449464345613411	0	0	0	0	0
RPS28	0	0.507293854808016	0	0	0	0	0
CD4	0	0.920375428544655	0	0.817800944950437	0.555376978088372	0	0
RPS29	0	0.501709229159175	0	0	0	0	0
RPL27	0	0.481941408770508	0	0	0	0	0
RPS21	0	0.59891405888203	0	0	0	0	0
RPL37A	0	0.434680011221662	0	0	0	0	0
FTH1	0	0.429200451034992	0	0	0	0	0
RPL39	0	0.490717962771519	0	0	0	0	0
RPS10	0	0.462475144962008	0	0	0	0	0
RPL35A	0	0.541511127146335	0	0	0	0	0
RPLP0	0	0.562864237335425	0	0	0	0.334255685259255	0
CCR6	0	0.7061290113948	0	0.695096336681764	1.39427112836497	0	0
EEF1G	0	0.532809326421411	0	0	0	0	0
ANXA1	0	0.616833535534379	0	0	0	0	0
RPL18	0	0.477595446266474	0	0	0	0	0
RPL38	0	0.526662656703291	0	0	0	0	0
RPL13AP5	0	0.407317297692559	0	0	0	0	0
RPS2	0	0.302075176272114	0	0	0	0	0
RPL27A	0	0.40099531322914	0	0	0	0	0
CD52	0	0.46794453514399	0	0	0	0	0
RPL12	0	0.475909873968615	0	0	0	0	0
RPL26	0	0.489941970825479	0	0	0	0	0
RPL29	0	0.446545979261709	0	0	0	0	0
RPL9	0	0.383231333292235	0	0	0	0	0
S100A11	0	0.638667324018564	0	0	0	0	0
RPL36A	0	0.296019083125749	0	0	0	0	0
RPS13	0	0.442056556008985	0	0	0	0	0
RPL14	0	0.471409543479233	0	0	0	0	0
RPL21P28	0	0.382610907337261	0	0	0	0	0
RPL28	0	0.369955504853603	0	0	0	0	0
TCF7	0	0.641284909910689	0	0	0	0	0
RPL35	0	0.34610772489156	0	0	0	0	0
GLTSCR2	0	0.5593541547011	0	0	0	0	0
RPL15	0	0.280115355327084	0	0	0	0	0
RPL10A	0	0.453760714141166	0	0	0	0	0
LOC101243545	0	0.450144668876912	0	0	0	0	0
AQP3	0	0.827360097916553	0	0	0.561657287134215	0	0
RPL8	0	0.364339598417746	0	0	0	0	0
RPL23	0	0.295438172967541	0	0	0	0	0
ADAM19	0	0.629923785272048	0	0	0.964965535755686	0.478031429028269	0
RPL17	0	0.397488146936414	0	0	0	0	0
RNASET2	0	0.640378344626217	0	0	0.603823086904526	0	0
RPS7	0	0.378112429447913	0	0	0	0	0
GNB2L1	0	0.346007098350493	0	0	0	0	0
RPL24	0	0.326924020255279	0	0	0	0	0
RPL7A	0	0.406122278648916	0	0	0	0	0
MIR4426	0	0.517206466560525	0	0	0	0	0
RPS9	0	0.363316689153103	0	0	0	0	0
RPS4X	0	0.45707676814118	0	0	0	0	0
VIM	0	0.362075374518993	0	0	0	0	0
SERINC5	0	0.867164517851883	0	0	0	0	0
TIMP1	0	0.755686949505933	0	0	0.585719375551597	0	0
PFDN5	0	0.489847177369289	0	0	0	0	0
RPSA	0	0.350530431261706	0	0	0	0.564555416469509	0
RPS5	0	0.382796297412642	0	0	0	0	0
UBA52	0	0.358872610150998	0	0	0	0	0
EEF1B2	0	0.496393515824137	0	0	0	0	0
S100A10	0	0.324613784732936	0	0	0	0	0
FAU	0	0.281227733440637	0	0	0	0	0
GIMAP7	0	0.519352517135496	0	0	0	0	0
LMNA	0	0.40098274477395	0	0	0	0	0
TNFRSF25	0	0.589644265251939	0	0.658217153822513	1.03275064284558	0.365833325175284	0
HINT1	0	0.412629517882218	0	0	0	0.523966493992983	0
S1PR1	0	0.655038144892188	0.591290550506991	0	0	0	0
EEF1D	0	0.386707910506573	0	0	0	0	0
MIR3654	0	0.724204772626562	0	0	0	0	0
RPL4	0	0.340376905797964	0	0	0	0.451571081335695	0
LDHB	0	0.451605702780156	0	0	0	0.730917617370237	0
FLT3LG	0	0.594107339618176	0	0	0	0	0
RPS17	0	0.417772553018396	0	0	0	0	0
PABPC1	0	0.265962394573608	0	0	0	0	0
TTC39C	0	0.408028341346204	0	0	0.3662257033252	0	0
RPS26	0	0.353745939130214	0	0	0	0	0
TRAT1	0	0.530227361327427	0	0	0.559853396781671	0	0
PPP1CB	0	0.289317539079729	0	0	0	0	0
KLRB1	0	0.626194877747607	0.676182778651061	0	0	0	0
KLF2	0	0.617353277121655	0.400201756282924	0	0	0	0
MAF	0	0.421381328349013	0	0.898396629016459	0.524191537020814	0	0
EMP3	0	0.535264349446465	0	0	0	0	0
CAPG	0	0.521039147917708	0	0	0.286217284399678	0	0
RPL6	0	0.375106483080121	0	0	0	0	0
FOS	0	0.42228948703593	0	0	0	0	0
ANKRD28	0	0.924778137057654	0	0	0	0	0
INPP4B	0	0.759842553932079	0	0	0	0	0
TMEM123	0	0.596354670320244	0	0	0.390905611905549	0	0
SLC2A3	0	0.37044745803354	0	0	0.293255368151821	0	0
FOXP1	0	0.466971941759912	0	0	0	0	0
SKP1	0	0.274986983322635	0	0	0	0	0
PBXIP1	0	0.280446980320493	0	0.540954821073803	0	0	0
COMMD6	0	0.539420270500513	0	0	0	0	0
GNB2	0	0.331619888122541	0	0	0	0	0
ZNF165	0	0.638693908189003	0	0	0	0	0
BIRC3	0	0.324877127098461	0	0.960909226281985	0	0	0
SOD2	0	0.666658347070253	0	0	0	0	0
SC5D	0	0.326714629665316	0	0	0.658420181066935	0	0
S100A4	0	0.317727502024524	0	0.278338977221928	0	0	0
COX7C	0	0.317517452865704	0	0	0	0.252932946433637	0
DHRS3	0	0.511266429411033	0	0	0	0	0
CTSB	0	0.316468539785197	0	0	1.12832959007702	0.54493307523037	0
FKBP11	0	0.353206920637661	0	0	0	0	0
CIB1	0	0.379355947077604	0	0	0	0	0
CD5	0	0.452608548052051	0	0	0.402665829817084	0	0
NFKBIA	0	0.288423683496377	0	0	0	0	0.52545778277694
YWHAB	0	0.265511530419856	0	0	0	0	0
PAG1	0	0.501398298222776	0	0	0.280135500492512	0	0
TOMM7	0	0.499890662102092	0	0	0	0	0
CD6	0	0.302008392000303	0	0	0.648182311196007	0	0
S100A6	0	0.25705711822939	0	0	0	0	0
ZC3HAV1	0	0.299604998397953	0	0	0	0	0
PLP2	0	0.301948130334949	0	0	0	0	0
OST4	0	0.356923868871649	0	0	0	0	0
RPS24	0	0.288915246388942	0	0	0	0	0
NOSIP	0	0.571925544529864	0	0	0	0	0
FGFBP2	0	0	6.19120362520577	0	0	0	0
S1PR5	0	0	3.93511885265445	0	0	0	0
FCGR3A	0	0	4.12396527040663	0	0	0	0
CX3CR1	0	0	4.15892480227929	0	0	0	0
SPON2	0	0	4.89004552437705	0	0	0	0
GZMB	0	0	2.506178283425	0	0	0	2.00473485926894
PRF1	0	0	2.63224149180058	0	0	0	0.895836566169002
NKG7	0	0	2.1812440064854	0	0	0	1.24031754263385
B3GNT7	0	0	2.75738861384062	0	0	0	2.22839663119411
SH2D1B	0	0	3.37686030074989	0	0	0	2.09323293937775
GNLY	0	0	2.31004452295671	0	0	0	2.80302261851613
KIR2DL3	0	0	4.10343212275441	0	0	0	0
GZMH	0	0	2.10753026259146	0	0	0	0
TYROBP	0	0	2.37763993355037	0	0	0	2.27930792721221
KLRF1	0	0	2.84645471419955	0	0	0	1.47176738117288
KLRD1	0	0	2.50163386223033	0	0	0	1.84218494491643
AKR1C3	0	0	3.80512846913946	0	0	0	0
ADGRG1	0	0	2.7429767237405	0	0	0	0
FGR	0	0	3.11019042305021	0	0	0	1.60813919437803
C1orf21	0	0	2.56953148601084	0	0	0	0
PLEK	0	0	2.11155774875574	0	0	0	1.11043267370842
FCRL6	0	0	2.18596256521492	0	0	0	0.762722089366423
PRSS23	0	0	4.7126628514697	0	0	0	0
CLIC3	0	0	2.46651629993785	0	0	0	0.632370920904205
LYN	0	0	2.79790170656254	0	0	0	0
FCER1G	0	0	2.44121310509513	0	0	0	2.71914108184154
PLAC8	0	0	2.0063354000357	0	0	0	0.496772903443857
ZEB2	0	0	1.71504491610132	0	0	0	0
GK5	0	0	2.53083580339509	0	0	0	0
TTC38	0	0	2.37820599385139	0	0	0	0.923559049226873
LITAF	0	0	1.19956763587756	0	0	0	0.310295131004306
ITGAX	0	0	2.47856076339547	0	0	0	2.51776546699424
ADRB2	0	0	1.61815963409579	0	0	0	0
LPCAT1	0	0	1.92135467245822	0	0	0	0
HSH2D	0	0	2.0331559803481	0	0	0	1.00856672480046
MTSS1	0	0	2.22917630245854	0	0	0	0
CD300A	0	0	1.79845218201793	0	0	0	1.62272975167596
CCL4L2	0	0	1.24166975512901	0	0	0	0
TGFBR3	0	0	1.71697336701988	0	0	0	0
ITGB2	0	0	1.2270302412738	0	0.266106775026066	0	0
ENC1	0	0	1.99750292125019	0	0	0	0
CD247	0	0	1.3137039242028	0	0	0	0.394288812081438
THEMIS2	0	0	1.82131467728411	0	0	0	0
GFOD1	0	0	1.66780356977942	0	0	0	0
EFHD2	0	0	1.18499527181835	0	0	0.318200189912347	0
LOC100130872	0	0	1.6309043505075	0	0	0	0
HAVCR2	0	0	1.97073306310368	0	0	0	1.70669741820549
METRNL	0	0	1.50770487401938	0	0	0	0.502320018454988
UBE2F	0	0	1.83612588951652	0	0	0	0.879085125903048
SLFN13	0	0	1.40696460927604	0	0	0	2.0764294104762
IGFBP7	0	0	2.93862302981618	0	0	0	0.88489713552481
AUTS2	0	0	1.25927901427123	0	0	0	0
TBX21	0	0	1.29974119635632	0	0	0	0
PXN	0	0	1.60294239515114	0	0	0	0
TPST2	0	0	1.52520042822897	0	0	0	0.721417523789188
C12orf75	0	0	1.25076933747025	0	0	0.70062677404511	0
ABI3	0	0	1.28726052287801	0	0	0	0.662829931297004
HOPX	0	0	1.0952065888584	0	0	0	1.17986776869382
ITPRIP	0	0	1.46539745821818	0	0	0	0
VCL	0	0	1.94575681536417	0	0	0	0
PYHIN1	0	0	1.26943232845167	0	0	0	0
LAIR2	0	0	1.75139274951008	1.64188035552627	0	0	0
APMAP	0	0	1.20510363052535	0	0	0	0.463173518798148
HLA-E	0	0	0.476399656085299	0	0	0	0
AGPAT4	0	0	1.52920299362686	0	0	0	0
DENND3	0	0	1.93724728685397	0	0	0	0.424625087532989
CHST12	0	0	1.19491861510472	0	0	0	1.14081387734207
BPGM	0	0	1.7668041857057	0	0	0	0
SAMD3	0	0	1.27072894192884	0	0	0	1.07829131973511
PTPRE	0	0	0.990548977946643	0	0	0	0
GTF3C1	0	0	1.79518868404643	0	0	0	0
RAP2B	0	0	0.964714986931942	0	0	0	0
B4GALT1	0	0	0.870985403151745	0	0	0	0
MATK	0	0	1.16770632152177	0	0	0	1.9143816509223
ARL4C	0	0	0.782762452953104	0	0	0	0
TMEM71	0	0	1.32310755570038	0	0	0	0
YPEL1	0	0	1.40381148417675	0	0	0	0
P2RY8	0	0	1.30274565673796	0	0	0	0
RASSF1	0	0	1.08483899698371	0	0	0	0
RAB29	0	0	1.35787150427326	0	0	0	0.653444684671075
AXIN1	0	0	1.22853559297998	0	0	0	0
SYNE1	0	0	1.0185312380528	0	0	0	0
LINC00861	0	0	1.08828741413757	0	0	0	0
ITGAL	0	0	0.942663664432314	0	0	0	0
SLC15A4	0	0	1.8403066457284	0	0	0	0.846228697550992
GNPTAB	0	0	1.36123498931777	0	0	0	0.532255508662866
EOMES	0	0	1.01388307333377	0	0	0	1.06615845110094
KLF3	0	0	0.985914108217363	0	0	0	0
CYBA	0	0	0.628025801594394	0	0	0	0
SLAMF7	0	0	1.15314908946902	0	0	0	0.340532175331448
BIN2	0	0	0.829200675409742	0	0	0	0
GNG2	0	0	0.915069452062523	0	0	0	0
ABHD17A	0	0	0.808826925081271	0	0	0	0
TNFRSF1B	0	0	0.734650599227912	0.347795148399774	0	0	0
SPN	0	0	0.895990337014168	0	0	0	0.352041052288339
ZBTB16	0	0	1.05623264111619	0	0	0	0
NFE2L2	0	0	0.674989014937723	0	0.347047067094133	0	0.391173202132448
MYO1F	0	0	0.875858578111755	0	0	0	0
HLA-H	0	0	0.414255301476957	0.305125156984124	0	0	0
SIRT2	0	0	1.03372197894979	0	0	0	0
GOLIM4	0	0	0.671829882905771	0	0	0	1.95356667392315
PTPN4	0	0	1.06473358396221	0	0	0	0
AREG	0	0	1.37373186488857	0	0	0	2.06768681974827
FOSL2	0	0	0.556150402046575	0	0	0	0
HLA-C	0	0	0.301306701743181	0	0	0	0
CALM1	0	0	0.353202949882054	0	0	0	0
CDC42SE1	0	0	0.703977918916739	0	0	0	0.672758287993343
BTN3A2	0	0	0.804722686174302	0	0	0	0
IGF2R	0	0	1.10413439291772	0	0	0	0
TMEM2	0	0	0.650633517482156	0	0.30744953587462	0	0
CREM	0	0	0.466589088669531	0	0	0	0
KLRK1	0	0	0.886331608875999	0	0	0	0.536055970362059
PAPD5	0	0	0.987057201714503	0	0	0	0
FASLG	0	0	0.837482524792964	0	0	0	1.47013574819658
TRAPPC10	0	0	0.847780243074491	0	0	0	0
CEBPD	0	0	0.525320410192601	0	0	0	0.998156501515666
RASGRP2	0	0	0.705424478871122	0	0	0	0
GSTP1	0	0	0.740995903972902	0	0	0.274054105707197	1.47850569965961
SH2D2A	0	0	0.697083067447577	0	0	0	0.496895659938883
RIN3	0	0	1.19001880424946	0	0	0	1.65763934659959
LRMP	0	0	0.815812189679332	0	0	0	1.07343198626991
ADGRE5	0	0	0.581020965863499	0	0	0	0.605810651909473
TERF1	0	0	0.999809890711846	0	0	0	0
AES	0	0	0.533639320495731	0	0	0	0
MAP3K8	0	0	0.794306815892926	0	0.720650905019312	0	1.02354674031723
STK38	0	0	0.871975872821856	0	0	0	0
DGKD	0	0	1.08350309997243	0	0	0	0
ARPC2	0	0	0.329899696966985	0	0	0.664085145637972	0
DIP2A	0	0	1.27522218387195	0	0.303684133837463	0	0
UPP1	0	0	0.859896734190734	0	0	0	0
MRPL10	0	0	0.794743995007201	0	0	0	0
SYTL1	0	0	0.538105847179334	0	0	0	0
C1orf174	0	0	0.83934693658111	0	0	0	0.322591087131267
MAPRE2	0	0	0.641177374887597	0	0	0	0
IQGAP2	0	0	0.676448244241363	0	0	0	0
C5orf56	0	0	0.942723595568958	0	0	0	0.544151180187438
SIPA1	0	0	0.965836059175572	0	0	0	0
VPS37B	0	0	0.5424416858723	0	0	0	0
SORL1	0	0	0.719765771629024	0	0	0	0
IL2RB	0	0	0.732539918403995	0	0	0	1.25491059361074
ESYT2	0	0	1.02813856179808	0	0.380131877115825	0	0
PIP4K2A	0	0	0.40794759013567	0	0	0	0
BHLHE40	0	0	0.812161719552141	0	0.799225243732076	0	0.997189882907619
ADD3	0	0	1.07021998913415	0	0	0	0
BRD7	0	0	1.01210832670516	0	0	0	0
PFN1	0	0	0.286739917053912	0	0	0.993840940812128	0.315292664213558
EBP	0	0	0.944939707309375	0	0	0.767873362288344	0
LGALS1	0	0	0.497581051896687	0	0	0	0
SELPLG	0	0	0.615938173297679	0	0	0	0
FAM46A	0	0	1.06088510835387	0	0	0	0.865900475977906
ITGB7	0	0	0.696348148824573	0	0	0	0
IRF1	0	0	0.452139083194672	0.341702172241828	0	0	0
SUN2	0	0	0.469925089523817	0	0	0	0
FAM53B	0	0	0.670434763244931	0.795977863544186	0.585365053915057	0	0
PRKX	0	0	0.965538113031283	0	0	0	0.262659248506546
CARD11	0	0	0.769822215346762	0	0	0	0
RAP1B	0	0	0.505950953165887	0	0.663140309551743	0	0
C20orf24	0	0	0.648822929950766	0	0	0	0.35719494119524
SERF2	0	0	0.336652259356387	0	0	0	0
MOB3A	0	0	0.598921732464866	0.377324494537728	0	0	0.451032700580138
RBM38	0	0	0.563762663639789	0	0.416569203590432	0	0
TMEM181	0	0	0.619952921857559	0	0	0	0
TFDP2	0	0	0.599621012417019	0	0.411695745871495	0	0
IFNGR1	0	0	0.708766235365655	0	0	0	0
RNF166	0	0	0.566776090994104	0	0	0	0
PDIA3	0	0	0.385471158188985	0	0	0	0
ADAM8	0	0	0.784692111969134	0	0	0	0
FLNA	0	0	0.42281941684401	0	0	0	0
ST6GALNAC6	0	0	0.947510686887467	0	0	0	0
CPT1A	0	0	0.865529536801006	0	0	0	0
RASA3	0	0	0.681342581351776	0	0	0	0
ATP8A1	0	0	0.60773759279863	0	0	0	0
PCNT	0	0	0.599793104168144	0	0	0.931667025474312	0
IFITM2	0	0	0.510985559029677	0	0	0	0.832987465702234
SASH3	0	0	0.90627023558732	0.495604092367802	0	0	0
CCND3	0	0	0.563992922698826	0	0	0	0
FAM65B	0	0	0.549498397669315	0	0	0	0
REL	0	0	0.388730171181658	0.361508467262528	0.437010595882301	0	0.340660283395874
PLEKHA1	0	0	0.819040535853971	0	0	0	0
CTSS	0	0	0.45907134759411	0	0	0	0
PDE4A	0	0	0.443329582800989	0	0.533209466257389	0	0
CD53	0	0	0.347526116132875	0	0	0	0
PIK3R5	0	0	0.423613869541262	0	0	0	0
PPP2R5A	0	0	0.50223176737219	0	0	0	0
JAK1	0	0	0.520122936866017	0	0	0	0
HMGN3	0	0	0.628010391330856	0	0	0.310632338718779	0.560426464536535
RRBP1	0	0	0.877776900980141	0	0	0	0
TCF25	0	0	0.534124114824984	0	0	0	0
ISG20	0	0	0.367010228071727	0	0	0	0
C1orf56	0	0	0.621046105006375	0	0	0	0
CTSD	0	0	0.477992435945712	0	0	0	0.537562414327731
CD99	0	0	0.32487870246691	0	0	0	0
PSAP	0	0	0.417647896417343	0	0	0	0
MGAT1	0	0	0.642722286679199	0	0	0	0
SLC9A3R1	0	0	0.482094058081981	0	0	0	0
NEAT1	0	0	0.252114823816015	0	0	0	0
CCDC69	0	0	1.01732406074797	0	0	0	0
DOK2	0	0	0.255436512020675	0.53819131817001	0	0	0
CTSC	0	0	0.476798247910161	0.894656126614729	0	0.288556152075027	0
SYAP1	0	0	0.478030509182033	0	0	0	0
STARD3NL	0	0	0.741243068722904	0	0	0	0.57228165742984
ARF6	0	0	0.463125038001404	0	0	0	0
NOL4L	0	0	0.709719453220229	0	0	0	0
TES	0	0	0.548100026031615	0	0	0	0
MVD	0	0	0.645730744791178	0	0	0	0
HIPK2	0	0	0.515430036590514	0	1.05367018668251	0	0
BRE-AS1	0	0	0.71937399981	0.559092001486113	0	0	0
